nome,nome_chiave,nome2,insta_hashtag
Kylian Mbappé,Mbappé,mbappe,519562
Neymar,Neymar,neymar,6752846
Leo Messi,Messi,messi,10278373
Mohamed Salah,Salah,salah,1454287
Harry Kane,Harry Kane,harrykane,156619
Antoine Griezmann,Griezmann,griezmann,591214
Kevin De Bruyne,De Bruyne,debruyne,149646
Philippe Coutinho,Coutinho,coutinho,738139
Eden Hazard,Hazard,hazard,849346
Paulo Dybala,Dybala,dybala,805472
Dele Alli,Dele Alli,delealli,84845
Romelu Lukaku,Lukaku,lukaku,281154
Cristiano Ronaldo,CR7,cr7,7034349
Mauro Icardi,Icardi,icardi,198598
Marco Asensio,Asensio,asensio,302411
Sergej Milinkovic-Savic,Milinkovic-Savic,milinkovicsavic,9658
Leroy Sané,Sané,leroysane,194990
Saúl Níguez,Saúl Níguez,saulniguez,7540
Raheem Sterling,Sterling,sterling,810844
Paul Pogba,Pogba,pogba,1294058
Isco,Isco,isco,789188
Gareth Bale,Gareth Bale,garethbale,598109
Gabriel Jesus,Gabriel Jesus,gabrieljesus,107811
Ousmane Dembélé,Dembélé,dembele,378787
N'Golo Kanté,Kanté,kante,163414
Raphaël Varane,Varane,varane,326355
Roberto Firmino,Firmino,firmino,281565
Jan Oblak,Oblak,oblak,37038
James Rodríguez,James Rodríguez,jamesrodriguez,795322
Marc-André ter Stegen,Ter Stegen,terstegen,325297
Christian Eriksen,Eriksen,eriksen,69120
Sergio Busquets,Busquets,busquets,203164
Robert Lewandowski,Lewandowski,lewandowski,345737
Toni Kroos,Kroos,kroos,586922
Sergio Agüero,Aguero,aguero,325758
Pierre-Emerick Aubameyang,Aubameyang,aubameyang,209694
Thomas Lemar,Thomas Lemar,thomaslemar,6386
Sadio Mané,Sadio Mané,sadiomane,56023
Samuel Umtiti,Umtiti,umtiti,253736
Marco Verratti,Verratti,verratti,58771
Koke,Koke,koke,77740
Jordi Alba,Jordi Alba,jordialba,179446
David de Gea,De Gea,degea,333626
Marcelo,Marcelo,marcelo,1047420
Luis Suárez,Luis Suárez,luissuarez,420881
Miralem Pjanic,Pjanic,pjanic,109346
Ivan Rakitic,Rakitic,rakitic,391840
Casemiro,Casemiro,casemiro,244738
Naby Keïta,Naby Keïta,nabykeita,9706
Marcus Rashford,Rashford,rashford,248125
Nabil Fekir,Fekir,fekir,25557
Lorenzo Insigne,Insigne,insigne,97507
Thibaut Courtois,Courtois,courtois,161770
Alexandre Lacazette,Lacazette,lacazette,135682
Bernardo Silva,Bernardo Silva,bernardosilva,15534
Ederson,Ederson,ederson,45310
Anthony Martial,Martial,martial,392857
Riyad Mahrez,Mahrez,mahrez,120698
Timo Werner,Timo Werner,timowerner,8336
Virgil van Dijk,Van Dijk,vandijk,68205
Daniel Carvajal,Carvajal,carvajal,323257
Álvaro Morata,Morata,morata,329170
Alisson,Alisson,alisson,99249
Jorginho,Jorginho,jorginho,56616
Kalidou Koulibaly,Koulibaly,koulibaly,21700
Thiago Alcantara,Thiago Alcantara,thiagoalcantara,20602
Edinson Cavani,Cavani,cavani,275686
Diego Costa,Diego Costa,diegocosta,142459
Kai Havertz,Kai Havertz,kaihavertz,2623
John Stones,John Stones,johnstones,13395
Marquinhos,Marquinhos,marquinhos,66481
Joshua Kimmich,Kimmich,kimmich,56642
Sergi Roberto,Sergi Roberto,sergiroberto,136995
Douglas Costa,Douglas Costa,douglascosta,67340
Alexis Sánchez,Alexis Sánchez,alexissanchez,189361
Mats Hummels,Hummels,hummels,110474
Gonzalo Higuaín,Higuain,higuain,372535
Arthur,Arthur,arthur,1405935
Federico Chiesa,Federico Chiesa,federicochiesa,2220
Matthijs de Ligt,De Ligt,deligt,5882
Lucas Hernández,Lucas Hernández,lucashernandez,10015
José Giménez,Gimenez,gimenez,13290
Kingsley Coman,Coman,coman,33574
Milan Skriniar,Skriniar,skriniar,20165
Kepa,Kepa,kepa,23868
Fred,Fred,fred,1038742
Florian Thauvin,Thauvin,thauvin,24965
Adrien Rabiot,Rabiot,rabiot,29195
Aymeric Laporte,Laporte,laporte,53253
Niklas Süle,Niklas Süle,niklassule,813
Rodrigo Moreno,Rodrigo Moreno,rodrigomoreno,1543
Ciro Immobile,Immobile,immobile,83297
Kyle Walker,Kyle Walker,kylewalker,16578
Heung-min Son,Son Heung Min,sonheungmin,43023
David Alaba,Alaba,alaba,92444
Thomas Müller,Thomas Müller,thomasmuller,33621
Willian,Willian,willian,206056
Jadon Sancho,Jadon Sancho,jadonsancho,4092
Leon Bailey,Leon Bailey,leonbailey,2843
Richarlison,Richarlison,richarlison,10676
Malcom,Malcom,malcom,78693
Christian Pulisic,Pulisic,pulisic,20054
Fabinho,Fabinho,fabinho,66202
Federico Bernardeschi,Bernardeschi,bernardeschi,40778
Corentin Tolisso,Tolisso,tolisso,25384
Julian Brandt,Julian Brandt,julianbrandt,7207
Harry Maguire,Maguire,maguire,14760
Memphis Depay,Depay,depay,75788
Benjamin Mendy,Benjamin Mendy,benjaminmendy,9427
Marcos Alonso,Marcos Alonso,marcosalonso,22172
Alex Sandro,Alex Sandro,alexsandro,30324
Aaron Ramsey,Ramsey,ramsey,271352
Ángel Di María,Di Maria,dimaria,326890
Ivan Perisic,Perisic,perisic,58181
Mesut Özil,Ozil,ozil,584594
Gerard Piqué,Pique,pique,819426
Rodrigo Hernández,Rodrigo Hernández,rodrigohernandez,813
Benjamin Pavard,Pavard,pavard,17728
Davinson Sánchez,Davinson Sánchez,davinsonsanchez,2947
Frenkie de Jong,Frenkie de Jong,frenkiedejong,2509
Lucas Torreira,Lucas Torreira,lucastorreira,3912
Hirving Lozano,Lozano,lozano,32631
Gianluigi Donnarumma,Donnarumma,donnarumma,58456
Rúben Neves,Neves,neves,26816
Gonçalo Guedes,Guedes,guedes,17236
Alessio Romagnoli,Romagnoli,romagnoli,38686
Andreas Christensen,Christensen,christensen,19900
Jonathan Tah,Jonathan Tah,jonathantah,1310
Héctor Bellerín,Héctor Bellerín,hectorbellerin,19412
Clément Lenglet,Lenglet,lenglet,16728
João Cancelo,Cancelo,cancelo,21400
Piotr Zielinski,Zielinski,zielinski,14974
Michy Batshuayi,Batshuayi,batshuayi,57122
Eric Dier,Eric Dier,ericdier,7943
Marcelo Brozovic,Brozovic,brozovic,26148
Leon Goretzka,Leon Goretzka,leongoretzka,16642
Alex Oxlade-Chamberlain,Alex Oxlade-Chamberlain,alexoxladechamberlain,52618
Jesse Lingard,Jesse Lingard,jesselingard,73232
Allan,Allan,allan,113473
Suso,Suso,suso,66203
Granit Xhaka,Xhaka,xhaka,119211
Stefan de Vrij,De Vrij,devrij,12742
Stefan Savic,Savic,savic,7898
Kostas Manolas,Manolas,manolas,37108
Antonio Rüdiger,Rudiger,rudiger,32130
Nemanja Matic,Nemanja Matic,nemanjamatic,24456
César Azpilicueta,Azpilicueta,azpilicueta,95232
Ilkay Gündogan,Gundogan,gundogan,57330
Georginio Wijnaldum,Wijnaldum,wijnaldum,73258
Javi Martínez,Javi Martínez,javimartinez,13178
Toby Alderweireld,Alderweireld,alderweireld,16355
Radja Nainggolan,Nainggolan,nainggolan,94023
Marco Reus,Reus,reus,697510
Jérôme Boateng,Jérôme Boateng,jeromeboateng,22726
Sergio Ramos,Sergio Ramos,sergioramos,1125336
Karim Benzema,Benzema,benzema,1069852
Paulinho,Paulinho,paulinho,189100
Tanguy Ndombélé,Ndombele,ndombele,2052
Houssem Aouar,Houssem Aouar,houssemaouar,2107
Ryan Sessegnon,Sessegnon,sessegnon,2046
Vinícius Júnior,Vinícius Júnior,viniciusjunior,11299
Mikel Oyarzabal,Oyarzabal,oyarzabal,2130
Trent Alexander-Arnold,Trent Alexander Arnold,trentalexanderarnold,10755
Franck Kessié,Kessie,kessie,17280
Wilfred Ndidi,Ndidi,ndidi,2590
Andrew Robertson,Andrew Robertson,andrewrobertson,3557
Thomas Partey,Thomas Partey,thomaspartey,1132
José Gayà,José Gayà,josegaya,706
Tiemoué Bakayoko,Bakayoko,bakayoko,33353
Andrea Belotti,Belotti,belotti,26018
Felipe Anderson,Felipe Anderson,felipeanderson,9753
Jordan Pickford,Pickford,pickford,16860
Luis Alberto,Luis Alberto,luisalberto,18882
Kieran Trippier,Trippier,trippier,13281
Pablo Sarabia,Sarabia,sarabia,6938
Nacho Fernández,Nacho Fernández,nachofernandez,33690
Henrikh Mkhitaryan,Mkhitaryan,mkhitaryan,171266
Nicolás Otamendi,Otamendi,otamendi,44918
Andrej Kramaric,Kramaric,kramaric,5408
Leonardo Bonucci,Bonucci,bonucci,133634
Manuel Akanji,Manuel Akanji,manuelakanji,1053
Iñigo Martínez,Iñigo Martínez,inigomartinez,279
Lucas Moura,Lucas Moura,lucasmoura,32380
Jan Vertonghen,Vertonghen,vertonghen,19137
Maximiliano Gómez,Maxi Gomez,maxigomez,989
Carlos Soler,Carlos Soler,carlossoler,680
Giovani Lo Celso,Lo Celso,locelso,8408
Dayot Upamecano,Upamecano,upamecano,718
Yerry Mina,Yerry Mina,yerrymina,43043
Eric Bailly,Eric Bailly,ericbailly,10540
Presnel Kimpembe,Kimpembe,kimpembe,25529
Álvaro Odriozola,Odriozola,odriozola,8168
Ángel Correa,Ángel Correa,angelcorrea,2881
Aleksandr Golovin,Golovin,golovin,16576
Gelson Martins,Gelson Martins,gelsonmartins,2257
Nicolò Barella,Barella,barella,4979
Iñaki Williams,Iñaki Williams,inakiwilliams,381
Keita Baldé,Keita Baldé,keitabalde,6900
Nélson Semedo,Nélson Semedo,nelsonsemedo,9556
Thilo Kehrer,Thilo Kehrer,thilokehrer,4264
Hakim Ziyech,Hakim Ziyech,hakimziyech,9623
André Silva,André Silva,andresilva,34347
Ante Rebic,Ante Rebic,anterebic,12164
Jean Michaël Seri,Jean Michaël Seri,jeanmichaelseri,377
Serge Gnabry,Gnabry,gnabry,10013
Wissam Ben Yedder,Ben Yedder,benyedder,6296
Wilfried Zaha,Wilfried Zaha,wilfriedzaha,2073
Alessandro Florenzi,Florenzi,florenzi,50946
Geoffrey Kondogbia,Kondogbia,kondogbia,11585
Paco Alcácer,Paco Alcácer,pacoalcacer,52055
Willian José,Willian José,willianjose,870
Emre Can,Emre Can,emrecan,81537
Ander Herrera,Ander Herrera,anderherrera,71436
Gylfi Sigurdsson,Sigurdsson,sigurdsson,11184
Julian Draxler,Draxler,draxler,72327
Victor Wanyama,Wanyama,wanyama,16820
Steven Nzonzi,Nzonzi,nzonzi,10324
Dries Mertens,Dries Mertens,driesmertens,24767
Diego Godín,Diego Godín,diegogodin,7332
Mateo Kovacic,Kovacic,kovacic,145563
Danny Rose,Danny Rose,dannyrose,12640
Juan Mata,Juan Mata,juanmata,92661
Marek Hamsik,Hamsik,hamsik,86238
David Silva,David Silva,davidsilva,47167
Axel Witsel,Witsel,witsel,13705
Blaise Matuidi,Matuidi,matuidi,69866
Hugo Lloris,Hugo Lloris,hugolloris,19054
Manuel Neuer,Neuer,neuer,349553
James Maddison,James Maddison,jamesmaddison,3628
Lorenzo Pellegrini,Lorenzo Pellegrini,lorenzopellegrini,2132
Rúben Dias,Rúben Dias,rubendias,433
Joe Gomez,Joe Gomez,joegomez,9147
Rony Lopes,Rony Lopes,ronylopes,975
Alassane Plea,Plea,plea,14486
Rafinha,Rafinha Alcantara,rafinhaalcantara,17569
Juan Cuadrado,Cuadrado,cuadrado,124724
Oscar Dos Santos,Oscar Dos Santos,oscardossantos,2230
Kevin Strootman,Strootman,strootman,28542
Jordan Henderson,Jordan Henderson,jordanhenderson,21337
Cengiz Ünder,Cengiz Ünder,cengizunder,11716
Hakan Calhanoglu,Hakan Calhanoglu,hakancalhanoglu,30069
Bruno Fernandes,Bruno Fernandes,brunofernandes,2847
Yacine Brahimi,Yacine Brahimi,yacinebrahimi,1977
David Neres,David Neres,davidneres,2651
Paulinho,Paulinho,paulinho,189102
Santiago Ascacíbar,Ascacíbar,ascacibar,1082
Nikola Milenkovic,Milenkovic,milenkovic,929
Lautaro Martínez,Lautaro Martínez,lautaromartinez,18047
Amine Harit,Amine Harit,amineharit,6625
Pablo Fornals,Fornals,fornals,1048
André Zambo Anguissa,Anguissa,andrezamboanguissa,857
Lucas Tousart,Tousart,tousart,1132
Fabián Ruiz,Fabián Ruiz,fabianruiz,3895
Nicolas Pépé,Nicolas Pépé,nicolaspepe,332
Moussa Marega,Marega,marega,3655
Giovanni Simeone,Giovanni Simeone,giovannisimeone,1396
Jean-Kévin Augustin,Jean-Kévin Augustin,jeankevinaugustin,508
Jefferson Lerma,Lerma,lerma,27103
Talisca,Talisca,talisca,100939
Alex Telles,Alex Telles,alextelles,28725
Abdou Diallo,Diallo,diallo,5554
Wendell,Wendell,wendell,31129
Lucas Vázquez,Lucas Vázquez,lucasvazquez,68961
Elseid Hysaj,Hysaj,hysaj,4995
Bryan Cristante,Cristante,cristante,7148
Mattia Caldara,Caldara,caldara,13056
Julian Weigl,Julian Weigl,julianweigl,11650
Alejandro Grimaldo,Grimaldo,grimaldo,3325
Ben Davies,Ben Davies,bendavies,2913
Stanislav Lobotka,Lobotka,lobotka,520
Victor Lindelöf,Lindelof,lindelof,46071
Jean-Philippe Gbamin,Gbamin,gbamin,194
Nathan Aké,Nathan Aké,nathanake,3059
Matteo Politano,Politano,politano,9952
Matías Vecino,Vecino,vecino,62448
Ross Barkley,Ross Barkley,rossbarkley,6817
Simone Verdi,Simone Verdi,simoneverdi,1520
Dennis Praet,Dennis Praet,dennispraet,1186
Faouzi Ghoulam,Ghoulam,ghoulam,10162
Matthias Ginter,Matthias Ginter,matthiasginter,5363
Emil Forsberg,Emil Forsberg,emilforsberg,1866
Marcel Sabitzer,Marcel Sabitzer,marcelsabitzer,1084
Thorgan Hazard,Thorgan Hazard,thorganhazard,6599
Thomas Meunier,Meunier,meunier,21350
Shkodran Mustafi,Shkodran Mustafi,shkodranmustafi,5080
Sime Vrsaljko,Vrsaljko,vrsaljko,15834
Iago Aspas,Iago Aspas,iagoaspas,5644
Vitolo,Vitolo,vitolo,6985
Pedro Rodriguez,Pedro Rodriguez,pedrorodriguez,11840
Asier Illarramendi,Asier Illarramendi,asierillarramendi,1044
Aleksandar Mitrovic,Aleksandar Mitrovic,aleksandarmitrovic,1493
David Luiz,David Luiz,davidluiz,303275
Marko Arnautovic,Arnautovic,arnautovic,16251
Arturo Vidal,Arturo Vidal,arturovidal,86564
Sami Khedira,Khedira,khedira,108235
Edin Dzeko,Dzeko,dzeko,109115
Luka Modric,Modric,modric,783947
Cesc Fàbregas,Fabregas,fabregas,206541
Danilo Pereira,Danilo Pereira,danilopereira,1061
José Callejón,José Callejón,josecallejon,7611
