pres_2018_tot,goal_2018_tot,assist_2018_tot,pres_2018_CL,goal_2018_CL,assist_2018_CL,pres_2017_tot,goal_2017_tot,assist_2017_tot,pres_2017_CL,goal_2017_CL,assist_2017_CL,pres_tot,goal_tot,assist_tot,pres_tot_CL,goal_tot_CL,assist_tot_CL
19,16,10,6,3,4,46,21,15,8,4,3,124,64,42,23,13,7
19,16,8,6,5,2,30,28,16,7,6,3,369,219,135,53,32,23
20,21,13,4,6,1,54,45,18,10,6,2,657,573,229,129,106,28
25,14,6,6,3,-,52,44,16,13,10,5,328,135,77,34,16,6
25,15,5,6,4,1,48,41,5,7,7,2,317,182,43,16,13,3
24,11,7,6,4,2,49,29,15,6,2,2,435,175,65,52,21,7
8,2,1,1,-,1,52,12,21,8,1,4,379,84,140,32,5,6
22,5,4,6,1,3,42,22,14,5,5,2,327,80,62,25,6,6
21,10,9,-,-,-,52,17,13,8,3,4,516,149,137,44,8,13
20,7,2,5,5,-,46,26,7,8,1,-,266,100,43,31,11,-
19,6,3,3,-,1,50,14,17,5,2,4,253,76,59,14,3,7
22,6,2,5,-,1,51,27,9,8,5,-,399,185,67,13,5,1
22,12,7,5,1,2,44,44,8,13,15,3,780,583,207,158,121,44
20,13,2,6,4,-,36,29,1,-,-,-,271,159,29,6,4,-
25,4,4,5,-,-,53,11,6,12,1,1,209,36,38,25,4,2
20,2,1,-,-,-,48,14,9,-,-,-,182,35,23,-,-,-
22,8,9,4,2,1,49,14,19,9,-,2,248,64,64,18,5,5
24,2,3,6,1,-,56,6,5,6,1,-,296,37,19,42,9,2
23,10,9,6,1,2,46,23,17,8,4,1,314,85,91,37,10,10
21,5,6,6,2,1,37,6,12,5,-,1,315,57,74,43,4,10
18,4,1,4,1,-,49,9,10,11,-,2,349,65,64,65,8,11
22,10,5,5,3,2,39,21,7,7,3,2,458,159,133,59,20,18
23,7,2,4,3,-,42,17,5,9,4,1,124,52,18,13,7,1
22,10,5,4,2,1,24,4,9,3,1,-,124,36,40,17,5,7
22,2,2,-,-,-,48,1,2,6,-,-,235,12,18,6,-,-
19,-,-,3,-,-,44,-,2,11,-,1,276,12,6,65,2,2
25,6,4,6,2,-,54,27,17,13,10,8,360,113,79,19,12,8
24,-,-,6,-,-,49,-,-,6,-,-,297,-,-,40,-,-
11,3,2,3,-,1,39,8,14,12,1,2,357,99,119,49,5,11
23,-,-,5,-,-,48,-,-,9,-,-,363,-,1,46,-,-
22,4,8,5,2,1,47,14,13,6,2,1,414,97,142,33,6,9
25,-,1,6,-,-,50,1,5,10,-,-,507,13,34,100,4,6
24,22,5,6,8,-,48,41,5,11,5,2,520,338,101,78,53,16
21,1,2,6,1,2,43,5,10,12,-,3,499,58,122,95,8,23
19,12,3,3,2,-,39,30,7,7,4,1,577,329,107,64,33,8
23,14,3,-,-,-,38,31,7,6,4,-,440,220,76,32,15,3
22,2,3,5,-,1,38,3,10,3,-,-,184,25,41,20,2,6
23,8,3,6,1,2,44,20,9,11,10,1,278,112,67,17,11,3
8,-,1,1,-,-,40,1,-,9,-,-,261,7,4,22,-,-
18,-,1,5,-,-,38,2,7,8,2,2,336,10,55,49,3,6
21,4,2,5,2,1,51,6,7,4,-,-,395,38,92,54,5,9
23,2,9,5,1,3,48,3,11,8,-,-,414,24,57,59,3,6
23,-,-,5,-,-,46,-,-,6,-,-,422,-,1,39,-,-
16,3,3,4,1,1,44,5,11,11,3,4,475,39,87,93,9,20
21,11,6,4,-,2,51,31,18,10,1,3,548,371,210,47,20,16
21,3,2,6,2,-,44,7,14,8,1,1,456,69,100,60,11,9
24,3,6,6,1,2,55,4,5,10,1,-,593,100,104,59,6,8
19,1,-,4,1,-,48,7,3,12,1,-,292,26,23,50,5,3
18,-,-,3,-,-,39,9,7,5,2,-,193,41,35,8,2,-
21,5,5,6,1,-,52,13,9,8,3,2,158,42,22,14,4,2
17,7,4,5,3,2,40,23,8,-,-,-,171,64,41,10,3,2
22,10,5,6,3,-,48,14,14,5,3,-,403,130,83,25,9,1
19,-,-,3,-,-,46,-,-,8,-,-,372,-,1,31,-,-
22,8,6,-,-,-,39,17,5,-,-,-,336,154,54,18,5,3
23,6,5,5,2,-,53,9,11,9,1,2,264,50,42,32,5,4
24,-,-,6,-,-,45,-,-,9,-,-,195,-,-,25,-,-
20,9,-,5,1,-,45,11,9,8,1,2,230,60,34,26,4,3
26,7,6,5,1,4,41,13,13,-,-,-,273,66,56,14,5,6
21,13,3,-,-,-,45,21,10,6,3,-,263,127,43,6,3,-
24,1,2,6,-,1,36,2,-,6,-,-,311,32,14,18,-,1
17,1,3,4,-,-,41,-,7,8,-,3,255,6,43,46,1,11
21,7,-,-,-,-,48,15,6,7,1,-,276,93,42,42,12,7
24,-,-,6,-,-,49,-,-,12,-,-,144,-,-,18,-,-
20,1,-,-,-,-,39,4,4,2,1,-,276,18,22,6,1,-
23,-,2,6,-,-,45,5,1,5,-,-,321,12,12,19,-,-
20,2,3,3,-,2,32,7,4,10,3,-,284,38,50,49,8,11
18,13,4,6,2,2,48,40,11,8,7,1,519,324,61,58,34,6
15,4,2,3,1,1,23,7,6,-,-,-,431,173,65,27,11,6
23,9,6,-,-,-,35,4,9,-,-,-,151,45,25,3,-,-
22,-,-,6,-,-,29,3,-,5,3,-,227,7,1,18,4,-
21,2,1,5,1,-,41,2,3,8,-,1,259,17,7,42,4,2
26,1,10,6,-,2,47,6,17,11,4,3,263,28,47,34,7,5
14,-,4,3,-,-,48,1,8,8,-,-,291,14,30,36,3,-
16,-,2,4,-,-,47,6,14,10,-,1,372,60,89,68,10,15
12,1,2,2,-,-,40,11,9,2,-,-,480,156,110,50,12,14
15,1,1,4,1,-,41,3,4,9,1,1,484,45,24,49,4,2
18,7,3,-,-,-,50,23,8,10,5,1,565,289,97,75,23,10
18,-,1,5,-,-,10,1,2,-,-,-,68,2,4,5,-,-
17,3,5,-,-,-,38,6,9,-,-,-,129,24,21,-,-,-
29,3,1,5,-,-,39,3,3,-,-,-,149,17,5,5,-,-
17,-,-,5,-,-,44,-,3,3,-,1,140,2,5,16,-,1
11,1,-,3,1,-,38,2,2,4,-,-,162,7,7,25,1,-
9,2,1,1,1,-,33,7,8,6,2,3,134,19,24,19,5,9
21,-,-,6,-,-,40,4,-,-,-,-,201,17,2,6,-,-
24,-,-,-,-,-,31,-,-,-,-,-,188,-,-,-,-,-
13,1,-,3,-,-,37,4,7,8,1,1,201,23,22,27,1,1
19,13,5,-,-,-,54,26,18,-,-,-,285,84,53,6,1,1
20,2,2,5,-,-,50,5,7,8,1,2,240,25,20,36,4,3
25,3,-,6,2,-,43,1,3,3,-,-,268,13,7,14,2,-
22,1,-,4,-,-,42,2,2,9,-,-,231,15,7,13,-,-
21,2,4,6,-,1,44,19,7,-,-,-,299,87,42,24,2,1
21,11,6,-,-,-,47,41,11,-,-,-,349,189,43,10,4,1
23,1,-,6,-,-,48,-,7,7,-,1,383,7,38,16,-,1
22,8,5,6,-,1,53,18,11,7,4,-,360,120,45,35,8,4
24,1,3,5,-,2,36,2,6,7,-,3,435,42,54,72,5,15
25,5,6,6,-,1,45,15,18,10,3,2,553,223,158,105,42,20
27,4,6,-,-,-,55,13,12,8,3,3,518,88,116,64,17,15
24,7,10,5,1,1,21,5,7,-,-,-,80,32,25,5,1,1
23,1,5,-,-,-,34,12,6,-,-,-,144,28,33,2,-,-
17,8,2,-,-,-,41,5,5,-,-,-,126,33,18,-,-,-
9,2,-,2,1,-,38,12,8,-,-,-,159,32,21,2,1,-
18,3,4,5,1,-,42,5,7,5,-,-,140,29,37,20,2,3
14,-,2,4,-,-,46,8,5,5,-,-,278,33,25,29,2,3
14,2,1,4,-,-,31,5,7,5,1,1,215,65,28,9,1,1
3,1,-,-,-,-,40,10,7,8,3,2,203,40,24,20,5,4
23,3,6,-,-,-,39,12,7,-,-,-,263,71,66,21,1,-
14,2,-,-,-,-,44,2,3,-,-,-,315,20,19,-,-,-
24,6,11,6,1,4,51,22,17,-,-,-,287,100,75,12,2,4
11,-,5,1,-,-,9,-,1,1,-,-,224,4,35,11,-,4
20,1,5,-,-,-,46,8,4,7,-,1,263,25,23,7,-,1
21,-,2,6,-,-,39,4,6,10,-,1,330,13,37,53,-,6
21,2,6,-,-,-,32,11,12,-,-,-,386,64,66,43,8,4
24,7,8,6,2,1,45,21,12,5,1,1,534,118,184,72,18,20
22,3,2,6,-,-,39,11,11,-,-,-,401,110,80,17,1,-
15,4,2,-,-,-,35,5,14,-,-,-,557,102,212,69,11,26
23,5,1,5,1,-,49,4,-,9,1,-,520,48,11,103,12,2
23,2,-,6,-,-,47,1,4,-,-,-,149,6,6,6,-,-
14,-,-,-,-,-,36,1,-,-,-,-,96,2,2,-,-,-
15,-,1,4,-,-,43,1,-,8,-,-,137,8,3,12,-,-
27,4,1,5,-,-,26,1,9,-,-,-,141,21,23,5,-,-
24,2,3,-,-,-,38,4,1,-,-,-,163,15,8,-,-,-
27,15,8,6,2,1,34,19,11,-,-,-,201,75,47,6,2,1
17,-,-,-,-,-,53,-,1,-,-,-,152,-,1,-,-,-
17,2,1,-,-,-,42,6,1,-,-,-,152,12,5,16,-,2
14,-,1,4,-,-,40,6,11,-,-,-,181,32,46,17,3,1
17,2,-,-,-,-,42,3,1,-,-,-,188,13,4,-,-,-
10,-,-,-,-,-,40,-,-,6,-,-,200,11,8,15,-,-
19,1,-,-,-,-,33,-,2,-,-,-,232,6,8,11,-,-
17,-,4,-,-,-,47,3,5,-,-,-,222,12,29,15,-,1
20,1,-,6,-,-,54,4,1,9,1,-,176,7,3,16,1,-
15,-,4,3,-,1,29,1,4,-,-,-,187,7,35,9,1,2
23,3,-,6,-,-,47,7,3,5,2,-,229,31,21,18,2,-
21,3,-,5,1,-,40,21,3,4,2,-,288,112,29,9,3,-
17,2,-,4,-,-,46,-,3,7,-,1,260,13,14,16,-,1
21,2,1,6,-,-,33,4,9,-,-,-,284,39,38,12,-,-
22,2,3,5,-,-,29,4,5,-,-,-,251,53,33,10,-,-
-,-,-,-,-,-,46,5,8,7,2,-,287,35,49,36,6,5
18,4,2,3,-,-,48,13,7,6,-,-,258,57,45,13,-,1
22,-,2,6,-,-,50,4,5,6,-,-,333,11,36,20,-,-
21,5,8,-,-,-,50,8,14,-,-,-,233,40,58,-,-,-
19,2,1,-,-,-,48,3,8,-,-,-,357,32,27,22,1,1
17,1,1,5,-,1,47,7,1,-,-,-,290,17,10,5,-,1
14,-,2,1,-,-,37,-,-,3,-,-,307,8,7,27,-,-
19,2,1,5,1,-,40,4,-,11,2,-,353,20,9,43,5,2
21,1,-,-,-,-,45,3,2,6,-,-,287,16,8,12,-,-
21,-,-,5,-,-,49,2,3,7,-,1,418,24,28,43,3,2
23,-,3,-,-,-,52,3,7,8,1,-,476,10,45,43,1,4
20,4,3,4,-,1,49,6,7,9,2,2,337,65,39,39,5,6
23,1,1,6,-,1,50,2,4,12,1,2,446,103,56,18,1,3
17,1,-,4,1,-,37,2,2,10,1,-,448,35,15,49,2,2
23,-,-,5,-,-,21,-,1,4,-,1,368,24,15,32,3,1
15,3,-,4,1,-,42,6,11,11,2,2,440,49,42,28,3,5
24,14,9,5,1,1,15,7,1,-,-,-,427,181,101,35,17,12
17,-,1,5,-,-,31,2,4,9,-,1,465,14,30,69,3,6
24,6,1,4,-,-,42,5,1,11,1,-,633,82,38,118,11,8
26,11,6,6,3,2,47,12,11,9,5,-,586,269,145,110,59,25
-,-,-,-,-,-,68,22,10,9,-,-,425,96,42,9,-,-
23,2,5,6,2,-,50,1,8,-,-,-,104,5,20,6,2,-
24,6,4,6,-,3,44,7,6,-,-,-,84,17,11,6,-,3
18,1,3,-,-,-,52,16,8,-,-,-,101,24,16,-,-,-
15,5,7,2,-,1,17,6,3,-,-,-,64,15,11,2,-,1
18,6,2,-,-,-,43,14,8,-,-,-,141,33,22,-,-,-
18,1,2,5,-,-,34,3,3,10,1,1,82,8,10,15,1,1
19,3,2,-,-,-,54,5,6,-,-,-,148,19,14,-,-,-
20,1,1,-,-,-,38,1,4,-,-,-,164,12,9,4,-,-
22,-,5,6,-,2,30,1,5,6,-,-,254,13,29,12,-,2
21,2,4,5,-,1,50,5,-,6,1,-,216,23,11,22,1,1
21,1,-,5,-,-,38,-,5,-,-,-,211,8,17,10,-,2
18,-,-,-,-,-,43,3,3,5,1,1,181,9,4,18,2,1
18,8,1,-,-,-,35,13,7,-,-,-,266,106,28,-,-,-
20,6,3,-,-,-,32,8,10,-,-,-,265,47,58,-,-,-
18,-,-,-,-,-,46,-,-,-,-,-,245,-,1,-,-,-
16,2,3,-,-,-,47,12,21,-,-,-,185,38,56,-,-,-
18,1,4,3,-,1,35,-,9,3,-,3,334,10,66,9,-,4
27,15,8,-,-,-,53,9,10,10,1,2,272,50,50,18,2,3
13,-,-,3,-,-,42,4,-,8,1,-,193,9,6,30,2,1
20,4,3,-,-,-,39,5,12,4,1,1,402,132,103,42,5,1
14,-,1,3,-,-,46,5,-,8,1,-,381,24,12,46,1,-
20,11,3,6,5,1,42,13,9,-,-,-,295,137,45,6,5,1
21,1,3,6,-,3,51,2,1,-,-,-,495,30,13,54,2,4
18,1,-,4,-,-,39,2,2,6,-,1,169,9,5,10,-,1
16,-,1,-,-,-,32,1,1,-,-,-,302,18,7,5,-,-
25,7,-,6,2,-,17,2,5,1,-,-,351,76,72,45,5,4
12,1,-,3,-,-,48,1,1,6,-,1,500,42,16,25,-,1
16,8,4,-,-,-,39,18,5,-,-,-,107,55,21,-,-,-
23,2,5,6,2,3,37,1,5,-,-,-,133,12,11,6,2,3
21,8,2,-,-,-,48,6,7,7,-,2,119,17,22,7,-,2
19,-,-,-,-,-,41,3,-,5,-,-,114,4,2,5,-,-
7,-,-,-,-,-,6,-,1,-,-,-,132,16,4,-,-,-
10,-,-,2,-,-,18,1,-,3,-,-,140,2,1,5,-,-
17,-,1,6,-,-,38,-,-,3,-,-,100,-,1,10,-,-
12,1,4,3,-,-,41,1,4,-,-,-,162,6,19,3,-,-
26,3,3,6,-,1,56,9,9,6,-,1,223,40,44,26,1,2
13,-,2,3,-,1,43,7,6,6,-,1,138,16,17,16,-,2
12,1,-,2,-,-,52,13,13,6,1,2,192,34,40,14,1,2
18,1,-,-,-,-,35,6,-,-,-,-,149,11,3,-,-,-
19,6,2,-,-,-,52,10,8,-,-,-,214,61,31,-,-,-
20,3,2,4,-,-,33,8,11,6,-,2,211,58,40,10,-,2
18,-,-,4,-,-,36,-,2,7,-,-,182,8,23,22,1,-
18,-,-,5,-,-,33,3,2,-,-,-,196,12,12,5,-,-
25,12,10,5,-,1,39,9,18,-,-,-,280,93,90,5,-,1
23,9,2,-,-,-,40,10,2,-,-,-,211,71,20,8,4,2
17,5,2,-,-,-,28,9,3,-,-,-,163,36,13,-,-,-
19,1,2,-,-,-,43,2,10,-,-,-,227,19,36,-,-,-
20,4,4,5,-,1,27,10,8,-,-,-,151,45,26,8,-,1
25,14,7,-,-,-,42,22,5,9,8,-,283,125,40,14,10,-
15,3,3,-,-,-,29,9,5,-,-,-,322,47,59,-,-,-
20,2,2,6,-,1,42,1,4,10,-,-,353,69,33,30,1,1
15,-,-,5,-,-,36,4,4,-,-,-,250,11,15,13,1,-
16,13,1,4,1,1,23,7,4,2,1,-,215,75,27,14,2,2
16,3,-,-,-,-,40,20,4,-,-,-,268,76,16,-,-,-
14,-,1,3,-,-,38,6,5,8,1,-,301,26,20,20,1,1
13,2,1,1,-,-,39,2,2,6,-,-,388,36,47,10,-,-
19,8,2,-,-,-,33,6,5,-,-,-,376,100,61,-,-,-
21,3,5,5,-,1,47,5,10,8,-,2,366,81,65,47,8,8
7,-,-,1,-,-,24,1,-,1,-,-,320,25,13,14,1,-
21,1,-,6,-,-,44,1,2,8,-,-,412,22,20,27,1,-
22,10,5,6,3,-,49,22,12,6,2,4,508,195,154,26,10,10
18,2,1,4,-,-,45,1,-,4,-,-,484,29,18,57,3,1
22,-,1,-,-,-,36,-,3,7,-,1,292,18,31,33,3,1
12,-,2,2,-,-,17,-,1,3,-,-,233,11,27,8,-,1
18,4,2,5,1,-,40,3,7,6,-,1,514,122,145,44,8,12
17,1,1,6,1,1,49,7,3,6,-,1,592,133,111,32,5,5
20,8,4,5,3,2,40,10,14,7,-,2,566,104,152,62,10,15
24,3,1,5,1,-,18,2,1,-,-,-,497,81,43,45,3,3
21,2,2,5,-,1,49,4,3,9,1,-,585,46,43,59,7,10
18,-,-,4,-,-,43,-,-,7,-,-,552,-,2,53,-,1
26,-,-,6,-,-,4,-,-,1,-,-,583,-,-,98,-,-
18,5,3,-,-,-,49,15,11,-,-,-,131,29,29,-,-,-
14,2,5,4,1,3,37,3,5,8,-,1,172,30,19,12,1,4
26,-,1,5,-,-,31,4,-,2,-,-,125,4,3,7,-,-
18,-,-,5,-,-,31,-,2,5,-,-,91,1,4,10,-,-
5,1,-,-,-,-,50,17,12,5,1,1,180,46,40,5,1,1
18,12,3,-,-,-,49,21,7,-,-,-,181,60,27,-,-,-
8,1,-,2,1,-,18,2,3,-,-,-,221,37,26,18,1,2
16,1,4,5,-,2,29,5,10,6,1,1,310,43,56,32,3,4
-,-,-,-,-,-,40,16,24,-,-,-,346,78,97,30,8,8
18,-,2,-,-,-,44,1,1,11,-,1,337,41,70,12,-,1
20,-,-,4,-,-,41,1,2,10,-,-,392,30,53,19,1,-
21,5,6,6,3,2,32,8,2,5,1,1,154,33,24,11,4,3
20,1,8,-,-,-,45,8,13,-,-,-,321,71,74,20,5,9
25,13,8,-,-,-,56,16,20,6,1,1,245,54,46,6,1,1
22,5,5,5,-,2,49,12,10,7,1,1,340,66,51,31,8,7
28,4,10,6,-,1,38,15,14,-,-,-,90,27,28,6,-,1
12,1,-,-,-,-,6,2,2,-,-,-,36,6,3,-,-,-
16,-,-,-,-,-,31,-,1,-,-,-,95,-,1,-,-,-
16,2,-,-,-,-,17,-,-,-,-,-,77,6,1,-,-,-
13,2,1,3,-,-,27,18,5,-,-,-,71,28,7,3,-,-
18,1,3,4,-,-,35,3,7,-,-,-,87,5,11,4,-,-
24,3,3,-,-,-,46,4,13,-,-,-,133,14,19,-,-,-
14,-,-,-,-,-,56,-,-,-,-,-,120,-,2,-,-,-
21,-,-,5,-,-,50,-,-,-,-,-,129,2,3,6,-,-
15,3,-,6,-,-,35,3,6,-,-,-,115,10,9,6,-,-
20,12,7,-,-,-,38,14,5,-,-,-,135,36,16,-,-,-
21,14,6,6,5,2,40,23,8,6,-,2,142,67,30,12,5,4
17,4,3,-,-,-,41,15,5,-,-,-,158,48,13,-,-,-
24,8,2,-,-,-,37,12,6,5,1,-,112,34,13,7,1,-
16,1,1,-,-,-,28,-,1,-,-,-,158,8,8,-,-,-
-,-,-,-,-,-,65,36,16,8,4,-,208,77,28,22,8,-
24,1,6,6,-,2,45,4,20,7,1,2,233,9,46,27,1,6
20,1,-,5,-,-,30,3,1,-,-,-,109,7,2,6,-,-
23,1,1,-,-,-,30,3,3,-,-,-,202,7,12,16,-,2
22,2,2,4,1,1,53,8,16,10,1,3,265,34,61,31,3,7
18,-,1,3,-,-,47,-,1,6,-,-,289,2,9,16,-,-
21,3,2,5,-,-,47,12,4,-,-,-,186,27,10,11,-,-
1,-,-,-,-,-,34,3,4,-,-,-,183,20,4,-,-,-
9,1,-,3,-,-,34,1,-,5,-,-,253,8,5,17,1,-
25,4,3,6,2,-,37,1,5,4,-,-,215,17,27,14,2,-
21,-,1,5,-,1,38,2,6,5,-,-,244,7,19,13,-,1
12,-,1,-,-,-,41,-,-,-,-,-,229,6,13,-,-,-
17,-,-,3,-,-,29,-,-,5,-,-,255,5,5,20,-,-
17,2,-,-,-,-,31,1,3,-,-,-,177,7,5,-,-,-
19,1,-,-,-,-,40,2,3,-,-,-,169,11,9,1,-,1
23,2,4,6,-,1,39,11,5,-,-,-,296,57,29,6,-,1
17,1,4,5,1,1,31,3,3,-,-,-,235,21,22,5,1,1
22,3,4,-,-,-,5,-,-,-,-,-,251,41,36,-,-,-
6,1,1,1,-,-,35,10,10,-,-,-,255,49,32,1,-,-
16,1,2,-,-,-,35,1,3,-,-,-,270,30,45,17,1,2
4,-,2,1,-,-,17,2,5,4,-,1,254,3,35,13,-,4
14,1,-,-,-,-,37,5,2,-,-,-,298,42,16,13,-,1
12,3,3,-,-,-,33,5,4,5,2,-,317,75,65,11,2,1
24,3,4,-,-,-,34,5,9,5,-,3,341,102,59,5,-,3
19,12,7,-,-,-,37,11,9,-,-,-,272,66,69,8,1,1
16,3,4,4,1,2,34,5,6,1,-,-,289,30,39,11,2,4
18,2,-,-,-,-,38,3,2,-,-,-,303,19,10,12,-,-
11,-,1,2,-,-,29,-,5,1,-,-,260,2,34,14,-,1
19,11,2,-,-,-,37,23,5,-,-,-,367,144,32,-,-,-
13,1,2,3,-,-,34,4,2,-,-,-,314,59,54,16,1,2
25,6,2,-,-,-,48,7,5,7,1,2,477,133,83,73,16,11
17,1,-,-,-,-,44,7,6,-,-,-,347,18,16,18,-,-
19,7,2,-,-,-,27,14,1,-,-,-,269,105,29,11,2,1
21,1,-,-,-,-,17,2,-,4,1,-,438,30,23,54,7,1
14,5,2,-,-,-,35,11,8,-,-,-,360,78,65,5,2,-
21,2,3,5,-,-,35,6,2,8,-,-,461,93,67,59,14,5
8,1,-,3,-,-,39,9,7,8,-,3,446,49,47,71,1,9
17,7,4,4,5,2,49,24,7,12,8,5,533,253,107,53,22,12
23,1,4,4,-,1,43,2,8,11,1,1,509,52,91,74,5,9
14,1,2,-,-,-,49,3,9,8,1,1,654,123,202,104,20,24
18,-,1,6,-,-,30,4,3,6,1,3,265,22,10,26,1,3
20,-,8,6,-,3,50,12,17,6,1,1,459,106,95,35,11,7
