skysport_google_all,skysport_google_18,skyitalia_google_all,skyitalia_google_18,eurosport_google_all,eurosport_google_18
4430,1730,10200,7000,11100,4750
4940,2010,9310,7180,21600,6220
4450,1390,7010,2050,25100,3800
28900,9600,13700,8720,6930,2340
11100,3380,400,199,8940,882
2560,986,1510,909,8240,1660
2990,894,7900,8270,2900,254
2860,1000,492,201,4480,555
63000,29800,613,327,5180,899
1130,418,2380,1120,4460,691
3260,931,179,130,2040,194
69300,29700,592,289,4880,501
5660,1890,15100,7990,41800,13100
1280,506,8230,3820,15400,7700
699,256,331,187,2790,629
183,111,1220,648,825,318
5520,1540,271,117,2160,410
275,46,29,10,1270,163
13200,4580,772,621,3580,374
52600,23800,6800,4550,10700,2770
1220,445,5200,4650,9770,1290
2170,446,328,97,7770,512
1180,338,230,173,1590,191
2450,682,468,283,5750,738
71000,35100,1180,812,2120,334
399,138,261,111,3440,425
15800,3620,260,169,2400,379
348,218,118,55,1830,162
1370,491,515,181,3760,208
383,150,163,68,2470,267
73800,33400,373,85,2230,298
793,276,307,110,3230,342
1810,620,417,155,5350,1870
813,236,277,166,4500,814
6850,2100,525,148,4650,317
10400,2890,547,220,1930,303
1150,278,42,19,778,88
6920,2330,129,95,1580,150
320,143,121,77,2380,289
221,55,711,273,1700,156
899,418,213,95,2320,135
321,111,147,71,2600,312
2520,636,245,175,4170,305
1290,615,947,381,7800,997
2730,945,424,165,7800,438
422,113,1220,442,2170,482
519,158,2400,1400,3810,384
373,100,180,98,2560,318
531,484,26,20,573,135
9870,2510,291,157,9210,4180
437,238,166,44,8750,5350
3610,1090,3550,2940,2210,446
1770,632,526,271,3410,590
10500,3420,239,85,1480,170
632,255,127,88,1340,266
527,253,254,114,1050,208
8880,3980,335,123,3530,430
2850,745,345,67,2310,213
357,135,47,36,711,196
9460,3880,931,838,2160,261
324,129,158,79,2800,261
6390,2990,11200,7000,13700,5560
3420,1630,3510,1280,1560,620
66000,32800,894,413,1180,341
150,51,7300,6560,1380,310
261,48,160,55,1030,81
2920,981,972,252,5050,789
2800,821,625,153,6580,293
50,24,39,20,81,25
3650,1600,40,21,1880,112
161,38,202,49,804,94
181,70,168,130,900,124
262,71,112,60,1770,228
392,183,729,370,1800,394
5990,2250,272,74,4080,229
374,103,132,59,9480,5710
3060,1360,12100,5310,28400,15400
1260,519,147,83,2850,653
90,45,1140,633,1030,484
108,112,3020,394,804,301
549,214,108,71,2090,426
228,51,163,48,1670,121
236,55,284,129,995,140
87,46,1540,554,792,323
779,306,352,293,654,147
48800,27200,403,120,1540,296
344,168,69,42,520,85
685,302,242,87,3070,1100
3390,1410,79,55,1030,174
93,20,38,10,252,43
69,36,34,9,540,79
231,77,3220,1510,2090,349
1160,567,118,55,1650,192
1020,305,38,38,893,115
203,45,93,31,1450,152
802,131,126,46,1550,123
74800,39700,428,228,2960,357
1320,510,22,20,534,140
194,62,53,35,187,18
3420,1140,53,34,707,162
298,142,1970,116,1480,379
373,177,54,33,1750,543
764,335,112,64,1160,126
115,20,2980,1700,1480,309
133,39,101,26,674,71
122,44,70,24,278,52
2410,926,73,56,2040,265
2390,389,137,62,1690,64
540,172,39,15,600,66
1640,457,114,53,1320,193
385,180,5070,2250,1490,342
14900,5320,5990,5380,12000,5780
743,254,1270,310,4130,367
1570,506,758,331,1920,431
14200,5640,2700,1250,8900,2230
798,243,722,317,8500,730
54,16,8,7,499,121
119,69,3650,1690,278,103
429,218,26,10,356,53
97,117,6,5,493,121
358,250,144,95,567,120
216,112,44,34,630,178
206,78,1390,495,2200,593
10700,3410,54,16,402,122
563,143,124,84,642,89
86,57,788,300,1500,289
873,513,527,366,987,197
106,9,8,6,86,11
690,150,21,9,823,69
114,84,46,37,731,189
120,46,6020,1130,870,362
146,88,409,191,863,224
3210,720,144,63,2630,142
964,262,22,16,1260,87
120,49,732,352,1370,353
151,75,21,10,338,51
926,151,57,9,1800,60
2070,849,57,59,1020,144
2700,499,1180,800,2340,350
197,91,927,387,1360,442
3480,1090,117,64,1360,157
147,59,542,255,825,234
298,164,1980,1090,2200,496
165,50,991,388,1190,222
397,182,304,71,1350,182
981,172,186,60,1290,80
1170,401,111,51,1760,179
4280,1390,129,84,1380,179
1530,521,96,50,1630,269
136,33,65,23,1370,72
1320,483,84,82,1820,226
231,93,12000,9240,2800,641
1950,328,426,140,1030,98
259,79,75,68,1070,86
1810,466,1730,1180,7300,1570
1180,218,2140,175,6100,519
472,198,339,101,1500,164
69,59,14,14,91,30
46,22,3,3,64,27
572,248,20,16,512,41
79,36,28,53,271,132
79,18,26,16,375,28
380,210,7,7,457,87
185,4,510,194,456,130
2880,1660,63,23,484,96
735,277,5,4,776,154
58,19,56,35,537,57
95,36,8,8,156,51
428,234,277,125,1120,201
1070,350,1180,291,1560,273
709,202,449,130,914,113
1540,673,1010,712,1450,222
173,39,482,203,1800,257
2130,1030,60,49,1080,190
89,32,33,17,1220,161
36,18,8,5,984,171
8020,3130,302,72,1830,161
713,239,118,56,1440,133
197,53,58,44,476,78
291,119,9080,2920,3860,741
34,33,9,9,78,25
59,26,10,10,637,39
930,305,76,41,618,94
839,312,96,54,1530,150
134,56,96,27,387,46
412,97,6,4,379,49
57,38,72,48,652,117
23,15,18,19,10,8
228,253,51,34,458,122
1940,817,5,4,651,59
81,88,29,29,212,66
89,45,32,28,584,149
1050,295,6,6,960,23
378,207,58,50,394,156
59,25,69,26,304,48
39,23,1440,400,697,201
126,18,7,3,390,22
90,87,241,68,444,82
70,20,58,18,232,22
23,15,5,5,62,27
117,31,3200,295,123,35
945,276,679,203,1570,327
116,46,10,7,242,38
183,108,5,5,1080,45
200,71,103,22,331,104
162,43,83,30,964,167
1120,316,4,4,897,51
205,38,672,401,1570,302
110,34,266,66,1070,56
333,87,61,38,1190,93
38700,21700,105,107,1530,113
755,176,450,231,2850,309
717,150,56,10,1400,132
2590,827,108,45,1550,135
405,120,208,36,1350,99
777,115,30,15,1120,46
310,99,239,130,1400,195
356,146,331,169,1280,184
230,76,471,261,3430,122
423,219,564,213,2110,277
1520,430,74,34,1710,99
9450,2070,158,19,2150,122
345,88,1800,1160,1610,260
3960,1510,448,145,3390,236
131,48,2710,1170,894,63
289,74,560,266,1840,417
940,282,41,31,1510,126
389,136,365,83,2480,174
3390,1120,5,5,278,54
128,43,263,144,444,170
19,8,21,19,471,55
762,428,21,26,622,107
63,22,39,8,102,10
624,110,63,89,900,75
501,280,1178,646,1820,250
301,56,3420,2950,15500,8260
5,4,4,2,208,38
259,182,957,155,978,124
1280,447,25,11,2080,144
513,174,142,70,458,126
101,23,151,51,666,208
88,27,124,40,438,41
71,7,3,3,210,5
32,39,4,2,30,27
345,136,339,101,1360,164
4,2,1,1,6,5
97,32,2240,810,157,93
202,24,200,183,370,228
37,7,3,1,51,15
41,34,8,7,408,34
87,64,94,48,127,29
27,8,20,6,64,15
59,19,267,169,281,125
253,99,9,7,215,29
34,21,24,21,107,28
97,39,315,194,405,113
81,39,1,1,130,8
234,3,2,2,252,2
54,21,33,10,487,35
24,8,39,16,664,34
71,35,90,36,239,29
68,34,67,43,215,33
450,123,218,138,1730,251
47,58,352,158,682,131
47,42,428,198,706,269
51,23,450,181,747,191
67,23,4,4,251,18
23,6,35,18,140,24
1300,397,166,93,1300,128
35,12,20,13,260,28
61500,31600,92,81,1590,174
5,5,1,1,4,3
344,109,43,23,400,29
201,41,724,354,677,235
93,48,584,192,1080,241
3920,1260,25,12,1170,88
41,31,304,160,361,76
57,9,42,9,151,50
45,7,607,117,690,110
98,8,6,6,140,15
107,68,19,5,287,31
44,28,0,0,117,5
142,39,19,10,227,33
122,80,71,43,534,83
3280,1640,91,83,923,111
172,53,327,219,1160,184
199,128,51,27,2740,79
248,15,48,21,1130,41
2570,1210,102,38,966,52
87,18,10,5,395,9
2570,978,194,47,544,58
70200,34200,198,72,2010,172
1090,311,9080,5690,1110,60
344,72,167,57,1660,133
247,110,660,274,2500,312
1150,513,3420,1940,2880,373
1480,440,1240,520,8990,3560
69400,33100,571,237,6410,2440
116,8,71,54,339,113
145,24,722,270,1430,226
