nome,transfermarkt,instagram,facebook,twitter,wiki
Kylian Mbappé,https://www.transfermarkt.it/kylian-mbappe/profil/spieler/342229,https://www.instagram.com/k.mbappe/,https://www.facebook.com/kylianmbappeofficiel/,https://twitter.com/KMbappe,https://en.wikipedia.org/wiki/Kylian_Mbappé
Neymar,https://www.transfermarkt.it/neymar/profil/spieler/68290,https://www.instagram.com/neymarjr,https://www.facebook.com/neymarjr,https://twitter.com/neymarjr,https://en.wikipedia.org/wiki/Neymar
Lionel Messi,https://www.transfermarkt.it/lionel-messi/profil/spieler/28003,https://www.instagram.com/leomessi,https://www.facebook.com/LeoMessi,,https://en.wikipedia.org/wiki/Lionel_Messi
Mohamed Salah,https://www.transfermarkt.it/mohamed-salah/profil/spieler/148455,https://www.instagram.com/mosalah/,https://www.facebook.com/momosalah,https://twitter.com/MoSalah,https://en.wikipedia.org/wiki/Mohamed_Salah
Harry Kane,https://www.transfermarkt.it/harry-kane/profil/spieler/132098,https://www.instagram.com/harrykane/,https://www.facebook.com/harrykaneofficial,https://twitter.com/HKane,https://en.wikipedia.org/wiki/Harry_Kane
Antoine Griezmann,https://www.transfermarkt.it/antoine-griezmann/profil/spieler/125781,https://www.instagram.com/antogriezmann/,https://www.facebook.com/antoine.griezmann/,https://twitter.com/AntoGriezmann,https://en.wikipedia.org/wiki/Antoine_Griezmann
Kevin De Bruyne,https://www.transfermarkt.it/kevin-de-bruyne/profil/spieler/88755,https://www.instagram.com/kevindebruyne/,https://www.facebook.com/DeBruyneOfficial,https://twitter.com/DeBruyneKev,https://en.wikipedia.org/wiki/Kevin_De_Bruyne
Philippe Coutinho,https://www.transfermarkt.it/philippe-coutinho/profil/spieler/80444,https://www.instagram.com/phil.coutinho/,https://www.facebook.com/philippe.coutinho/,https://twitter.com/Phil_Coutinho,https://en.wikipedia.org/wiki/Philippe_Coutinho
Eden Hazard,https://www.transfermarkt.it/eden-hazard/profil/spieler/50202,https://www.instagram.com/hazardeden_10/,https://www.facebook.com/edenhazard/,https://twitter.com/hazardeden10,https://en.wikipedia.org/wiki/Eden_Hazard
Paulo Dybala,https://www.transfermarkt.it/paulo-dybala/profil/spieler/206050,https://www.instagram.com/paulodybala/,https://www.facebook.com/paulodybala/,https://twitter.com/paudybala_jr,https://en.wikipedia.org/wiki/Paulo_Dybala
Dele Alli,https://www.transfermarkt.it/dele-alli/profil/spieler/207929,https://www.instagram.com/dele/,https://www.facebook.com/DeleOfficial/,https://twitter.com/dele_official,https://en.wikipedia.org/wiki/Dele_Alli
Romelu Lukaku,https://www.transfermarkt.it/romelu-lukaku/profil/spieler/96341,https://www.instagram.com/romelulukaku,https://facebook.com/Romelulukaku/,https://twitter.com/RomeluLukaku9,https://en.wikipedia.org/wiki/Romelu_Lukaku
Cristiano Ronaldo,https://www.transfermarkt.it/cristiano-ronaldo/profil/spieler/8198,https://www.instagram.com/cristiano,https://www.facebook.com/Cristiano,https://twitter.com/Cristiano,https://en.wikipedia.org/wiki/Cristiano_Ronaldo
Mauro Icardi,https://www.transfermarkt.it/mauro-icardi/profil/spieler/68863,https://www.instagram.com/mauroicardi/,https://www.facebook.com/MauroIcardiOficial/,https://twitter.com/MauroIcardi,https://en.wikipedia.org/wiki/Mauro_Icardi
Marco Asensio,https://www.transfermarkt.it/marco-asensio/profil/spieler/296622,https://www.instagram.com/marcoasensio10/,https://www.facebook.com/marcoasensio10/,https://twitter.com/marcoasensio10,https://en.wikipedia.org/wiki/Marco_Asensio
Sergej Milinkovic-Savic,https://www.transfermarkt.it/sergej-milinkovic-savic/profil/spieler/266302,https://www.instagram.com/sergej___21/,,,https://en.wikipedia.org/wiki/Sergej_Milinkovic-Savic
Leroy Sané,https://www.transfermarkt.it/leroy-sane/profil/spieler/192565,https://www.instagram.com/leroysane19/,https://www.facebook.com/leroysane/,https://twitter.com/LeroySane19,https://en.wikipedia.org/wiki/Leroy_Sané
Saúl Níguez,https://www.transfermarkt.it/saul-niguez/profil/spieler/148928,https://www.instagram.com/saulniguez/,https://www.facebook.com/saulniguez/,https://twitter.com/saulniguez,https://en.wikipedia.org/wiki/Saúl_Ñíguez
Raheem Sterling,https://www.transfermarkt.it/raheem-sterling/profil/spieler/134425,https://www.instagram.com/sterling7/,https://www.facebook.com/sterling7official,https://twitter.com/sterling7,https://en.wikipedia.org/wiki/Raheem_Sterling
Paul Pogba,https://www.transfermarkt.it/paul-pogba/profil/spieler/122153,https://www.instagram.com/paulpogba/,https://www.facebook.com/PaulPogba,https://twitter.com/paulpogba,https://en.wikipedia.org/wiki/Paul_Pogba
Isco,https://www.transfermarkt.it/isco/profil/spieler/85288,https://www.instagram.com/iscoalarcon/,https://www.facebook.com/iscoalarcon/,https://twitter.com/isco_alarcon,https://en.wikipedia.org/wiki/Isco
Gareth Bale,https://www.transfermarkt.it/gareth-bale/profil/spieler/39381,https://www.instagram.com/garethbale11,https://www.facebook.com/Bale,https://twitter.com/GarethBale11,https://en.wikipedia.org/wiki/Gareth_Bale
Gabriel Jesus,https://www.transfermarkt.it/gabriel-jesus/profil/spieler/363205,https://www.instagram.com/dejesusoficial/,https://www.facebook.com/gabrieljesus/,https://twitter.com/gabrieljesus33,https://en.wikipedia.org/wiki/Gabriel_Jesus
Ousmane Dembélé,https://www.transfermarkt.it/ousmane-dembele/profil/spieler/288230,https://www.instagram.com/o.dembele7/,,https://twitter.com/Dembouz,https://en.wikipedia.org/wiki/Ousmane_Dembélé
N'Golo Kanté,https://www.transfermarkt.it/ngolo-kante/profil/spieler/225083,https://www.instagram.com/nglkante/,https://www.facebook.com/nglkante,https://twitter.com/nglkante,https://en.wikipedia.org/wiki/N%27Golo_Kanté
Raphaël Varane,https://www.transfermarkt.it/raphael-varane/profil/spieler/164770,https://www.instagram.com/raphaelvarane/,https://www.facebook.com/raphaelvarane/,https://twitter.com/raphaelvarane,https://en.wikipedia.org/wiki/Raphaël_Varane
Roberto Firmino,https://www.transfermarkt.it/roberto-firmino/profil/spieler/131789,https://www.instagram.com/roberto_firmino/,https://www.facebook.com/robertofirmino,,https://en.wikipedia.org/wiki/Roberto_Firmino
Jan Oblak,https://www.transfermarkt.it/jan-oblak/profil/spieler/121483,https://www.instagram.com/oblakjan/,,,https://en.wikipedia.org/wiki/Jan_Oblak
James Rodríguez,https://www.transfermarkt.it/james-rodriguez/profil/spieler/88103,https://www.instagram.com/jamesrodriguez10/,https://www.facebook.com/10Jamesrodriguez/,https://twitter.com/jamesdrodriguez,https://en.wikipedia.org/wiki/James_Rodríguez
Marc-André ter Stegen,https://www.transfermarkt.it/marc-andre-ter-stegen/profil/spieler/74857,https://www.instagram.com/mterstegen1,https://www.facebook.com/mterstegen1,https://twitter.com/mterstegen1,https://en.wikipedia.org/wiki/Marc-André_ter_Stegen
Christian Eriksen,https://www.transfermarkt.it/christian-eriksen/profil/spieler/69633,https://www.instagram.com/chriseriksen8/,,https://twitter.com/ChrisEriksen8,https://en.wikipedia.org/wiki/Christian_Eriksen
Sergio Busquets,https://www.transfermarkt.it/sergio-busquets/profil/spieler/65230,,https://www.facebook.com/sbusquets16/,,https://en.wikipedia.org/wiki/Sergio_Busquets
Robert Lewandowski,https://www.transfermarkt.it/robert-lewandowski/profil/spieler/38253,https://www.instagram.com/_rl9/,https://www.facebook.com/rl9official,https://twitter.com/lewy_official,https://en.wikipedia.org/wiki/Robert_Lewandowski
Toni Kroos,https://www.transfermarkt.it/toni-kroos/profil/spieler/31909,https://www.instagram.com/toni.kr8s/,https://www.facebook.com/ToniKroos,https://twitter.com/ToniKroos,https://en.wikipedia.org/wiki/Toni_Kroos
Sergio Agüero,https://www.transfermarkt.it/sergio-aguero/profil/spieler/26399,https://www.instagram.com/10aguerosergiokun/,https://www.facebook.com/sergioelkunaguero/,https://twitter.com/aguerosergiokun,https://en.wikipedia.org/wiki/Sergio_Agüero
Pierre-Emerick Aubameyang,https://www.transfermarkt.it/pierre-emerick-aubameyang/profil/spieler/58864,https://www.instagram.com/aubameyang97/,https://www.facebook.com/aubameyang97/,https://twitter.com/Aubameyang7,https://en.wikipedia.org/wiki/Pierre-Emerick_Aubameyang
Thomas Lemar,https://www.transfermarkt.it/thomas-lemar/profil/spieler/205562,https://www.instagram.com/thom_lemar27/,,,https://en.wikipedia.org/wiki/Thomas_Lemar
Sadio Mané,https://www.transfermarkt.it/sadio-mane/profil/spieler/200512,https://www.instagram.com/sadiomaneofficiel/,https://www.facebook.com/SadioManeLFC10/,,https://en.wikipedia.org/wiki/Sadio_Mané
Samuel Umtiti,https://www.transfermarkt.it/samuel-umtiti/profil/spieler/126540,https://www.instagram.com/samumtiti/,https://www.facebook.com/SamuelUmtiti/,https://twitter.com/samumtiti,https://en.wikipedia.org/wiki/Samuel_Umtiti
Marco Verratti,https://www.transfermarkt.it/marco-verratti/profil/spieler/102558,https://www.instagram.com/marco_verratti92/,https://www.facebook.com/Marco-Verratti-179561818761415,,https://en.wikipedia.org/wiki/Marco_Verratti
Koke,https://www.transfermarkt.it/koke/profil/spieler/74229,https://www.instagram.com/koke6/,https://www.facebook.com/JorgeResurreccionKoke/,https://twitter.com/Koke6,"https://en.wikipedia.org/wiki/Koke_(footballer,_born_1992)"
Jordi Alba,https://www.transfermarkt.it/jordi-alba/profil/spieler/69751,https://www.instagram.com/JordiAlbaOficial#,https://www.facebook.com/jordialbaofficial,https://twitter.com/JordiAlba,https://en.wikipedia.org/wiki/Jordi_Alba
David de Gea,https://www.transfermarkt.it/david-de-gea/profil/spieler/59377,https://www.instagram.com/d_degeaofficial/,https://www.facebook.com/DavidDeGeaOficial/,https://twitter.com/D_DeGea,https://en.wikipedia.org/wiki/David_de_Gea
Marcelo,https://www.transfermarkt.it/marcelo/profil/spieler/44501,https://www.instagram.com/marcelotwelve/,https://www.facebook.com/marcelom12,https://twitter.com/MarceloSarvas,"https://en.wikipedia.org/wiki/Marcelo_(footballer,_born_1988)"
Luis Suárez,https://www.transfermarkt.it/luis-suarez/profil/spieler/44352,https://www.instagram.com/luissuarez9/,https://www.facebook.com/LuisSuarez9/,https://twitter.com/LuisSuarez9,https://en.wikipedia.org/wiki/Luis_Suárez
Miralem Pjanic,https://www.transfermarkt.it/miralem-pjanic/profil/spieler/44162,https://www.instagram.com/miralem_pjanic/,https://www.facebook.com/miralempjanicofficial/,https://twitter.com/Miralem_Pjanic,https://en.wikipedia.org/wiki/Miralem_Pjanic
Ivan Rakitic,https://www.transfermarkt.it/ivan-rakitic/profil/spieler/32467,https://www.instagram.com/ivanrakitic/,https://www.facebook.com/rakitic.ivan.official/,https://twitter.com/ivanrakitic,https://en.wikipedia.org/wiki/Ivan_Rakitic
Casemiro,https://www.transfermarkt.it/casemiro/profil/spieler/16306,https://www.instagram.com/casemiro/,https://www.facebook.com/Casemiro92,https://twitter.com/Casemiro,https://en.wikipedia.org/wiki/Casemiro
Naby Keïta,https://www.transfermarkt.it/naby-keita/profil/spieler/302215,https://www.instagram.com/keitanabydeco/,https://www.facebook.com/NabyKeitaNK8/,,https://en.wikipedia.org/wiki/Naby_Keïta
Marcus Rashford,https://www.transfermarkt.it/marcus-rashford/profil/spieler/258923,https://www.instagram.com/marcusrashford/,https://www.facebook.com/MarcusRashford/,https://twitter.com/MarcusRashford,https://en.wikipedia.org/wiki/Marcus_Rashford
Nabil Fekir,https://www.transfermarkt.it/nabil-fekir/profil/spieler/203496,https://www.instagram.com/nabilfekir/,https://www.facebook.com/NabilFekirOfficiel,https://twitter.com/NabilFekir,https://en.wikipedia.org/wiki/Nabil_Fekir
Lorenzo Insigne,https://www.transfermarkt.it/lorenzo-insigne/profil/spieler/133964,https://www.instagram.com/lorinsigneofficial/,https://www.facebook.com/LorInsigneOfficial/,https://twitter.com/Lor_Insigne,https://en.wikipedia.org/wiki/Lorenzo_Insigne
Thibaut Courtois,https://www.transfermarkt.it/thibaut-courtois/profil/spieler/108390,https://www.instagram.com/thibautcourtois/,https://www.facebook.com/CourtoisOfficial,https://twitter.com/thibautcourtois,https://en.wikipedia.org/wiki/Thibaut_Courtois
Alexandre Lacazette,https://www.transfermarkt.it/alexandre-lacazette/profil/spieler/93720,https://www.instagram.com/lacazettealex/,https://www.facebook.com/AlexandreLacazetteOfficiel/,https://twitter.com/LacazetteAlex,https://en.wikipedia.org/wiki/Alexandre_Lacazette
Bernardo Silva,https://www.transfermarkt.it/bernardo-silva/profil/spieler/241641,https://www.instagram.com/bernardocarvalhosilva/,https://www.facebook.com/BernardoSilvaOficial/,https://twitter.com/BernardoCSilva,https://en.wikipedia.org/wiki/Bernardo_Silva
Ederson,https://www.transfermarkt.it/ederson/profil/spieler/238223,https://www.instagram.com/ederson93/,https://www.facebook.com/Ederson93/,https://twitter.com/ederson,https://en.wikipedia.org/wiki/Ederson_Moraes
Anthony Martial,https://www.transfermarkt.it/anthony-martial/profil/spieler/182877,https://www.instagram.com/martial_9/,https://www.facebook.com/AnthonyMartialAM9,https://twitter.com/AnthonyMartial,https://en.wikipedia.org/wiki/Anthony_Martial
Riyad Mahrez,https://www.transfermarkt.it/riyad-mahrez/profil/spieler/171424,https://www.instagram.com/riyadmahrez26.7/,https://www.facebook.com/Riyad.Mahrez.RM26.7/,https://twitter.com/Mahrez22,https://en.wikipedia.org/wiki/Riyad_Mahrez
Timo Werner,https://www.transfermarkt.it/timo-werner/profil/spieler/170527,https://www.instagram.com/timowerner/,https://www.facebook.com/TimoWerner,,https://en.wikipedia.org/wiki/Timo_Werner
Virgil van Dijk,https://www.transfermarkt.it/virgil-van-dijk/profil/spieler/139208,https://www.instagram.com/virgilvandijk/,,https://twitter.com/VirgilvDijk,https://en.wikipedia.org/wiki/Virgil_van_Dijk
Daniel Carvajal,https://www.transfermarkt.it/daniel-carvajal/profil/spieler/138927,https://www.instagram.com/dani.carvajal.2/,https://www.facebook.com/danicarvajaloficial,https://twitter.com/DaniCarvajal92,https://en.wikipedia.org/wiki/Dani_Carvajal
Álvaro Morata,https://www.transfermarkt.it/alvaro-morata/profil/spieler/128223,https://www.instagram.com/alvaromorata,https://www.facebook.com/alvaromorata,https://twitter.com/AlvaroMorata,https://en.wikipedia.org/wiki/Álvaro_Morata
Alisson,https://www.transfermarkt.it/alisson/profil/spieler/105470,https://www.instagram.com/alissonbecker/,https://www.facebook.com/AlissonBeckerOficial/,https://twitter.com/Alissonbecker,"https://en.wikipedia.org/wiki/Alisson_(footballer,_born_1992)"
Jorginho,https://www.transfermarkt.it/jorginho/profil/spieler/102017,https://www.instagram.com/jorginhofrello/?hl=it,,,"https://en.wikipedia.org/wiki/Jorginho_(footballer,_born_1991)"
Kalidou Koulibaly,https://www.transfermarkt.it/kalidou-koulibaly/profil/spieler/93128,https://www.instagram.com/kkoulibaly26/,https://www.facebook.com/kalidoukoulibalyofficiel/,https://twitter.com/kkoulibaly26,https://en.wikipedia.org/wiki/Kalidou_Koulibaly
Thiago,https://www.transfermarkt.it/thiago/profil/spieler/60444,https://www.instagram.com/thiago6/,https://www.facebook.com/thiago6alcantara,https://twitter.com/ThiagoSilva_MMA,https://en.wikipedia.org/wiki/Thiago_Alcântara
Edinson Cavani,https://www.transfermarkt.it/edinson-cavani/profil/spieler/48280,https://www.instagram.com/cavaniofficial21/,https://www.facebook.com/EdiCavaniOfficial,https://twitter.com/ECavaniOfficial,https://en.wikipedia.org/wiki/Edinson_Cavani
Diego Costa,https://www.transfermarkt.it/diego-costa/profil/spieler/44779,https://www.instagram.com/diego.costa/,https://www.facebook.com/diegocostaofficial,https://twitter.com/diegocosta,https://en.wikipedia.org/wiki/Diego_Costa
Kai Havertz,https://www.transfermarkt.it/kai-havertz/profil/spieler/309400,https://www.instagram.com/kaihavertz29/,https://www.facebook.com/kaihavertz29/,,https://en.wikipedia.org/wiki/Kai_Havertz
John Stones,https://www.transfermarkt.it/john-stones/profil/spieler/186590,https://www.instagram.com/johnstonesofficial/,,https://twitter.com/akadrjohn,https://en.wikipedia.org/wiki/John_Stones
Marquinhos,https://www.transfermarkt.it/marquinhos/profil/spieler/181767,https://www.instagram.com/marquinhosm5/,https://www.facebook.com/m5marquinhos,https://twitter.com/marquinhos_m5,https://en.wikipedia.org/wiki/Marquinhos
Joshua Kimmich,https://www.transfermarkt.it/joshua-kimmich/profil/spieler/161056,https://www.instagram.com/jok_32/,https://www.facebook.com/jo.kimmich,,https://en.wikipedia.org/wiki/Joshua_Kimmich
Sergi Roberto,https://www.transfermarkt.it/sergi-roberto/profil/spieler/85370,https://www.instagram.com/sergiroberto/,,https://twitter.com/SergiRoberto10,https://en.wikipedia.org/wiki/Sergi_Roberto
Douglas Costa,https://www.transfermarkt.it/douglas-costa/profil/spieler/75615,https://www.instagram.com/douglascosta/,https://www.facebook.com/Douglascosta20,https://twitter.com/douglascosta,https://en.wikipedia.org/wiki/Douglas_Costa
Alexis Sánchez,https://www.transfermarkt.it/alexis-sanchez/profil/spieler/40433,https://www.instagram.com/alexis_officia1/,https://www.facebook.com/alexissanchez7,https://twitter.com/Alexis_Sanchez,https://en.wikipedia.org/wiki/Alexis_Sánchez
Mats Hummels,https://www.transfermarkt.it/mats-hummels/profil/spieler/39728,https://www.instagram.com/aussenrist15/,https://www.facebook.com/Mats.Hummels,https://twitter.com/matshummels,https://en.wikipedia.org/wiki/Mats_Hummels
Gonzalo Higuaín,https://www.transfermarkt.it/gonzalo-higuain/profil/spieler/39153,https://www.instagram.com/ghiguain20_9,https://www.facebook.com/gonzalohiguainoficial9/,https://twitter.com/G_Higuain,https://en.wikipedia.org/wiki/Gonzalo_Higuaín
Arthur,https://www.transfermarkt.it/arthur/profil/spieler/362842,https://www.instagram.com/arthurhmelo/,https://www.facebook.com/ArthurMeloOficial/,https://twitter.com/kingarthurmovie,https://en.wikipedia.org/wiki/Arthur_Melo
Federico Chiesa,https://www.transfermarkt.it/federico-chiesa/profil/spieler/341092,https://www.instagram.com/fedexchiesa/,https://www.facebook.com/FedericoChiesaOfficial/,https://twitter.com/federicochiesa,https://en.wikipedia.org/wiki/Federico_Chiesa
Matthijs de Ligt,https://www.transfermarkt.it/matthijs-de-ligt/profil/spieler/326031,https://www.instagram.com/mdeligt_/,,,https://en.wikipedia.org/wiki/Matthijs_de_Ligt
Lucas Hernández,https://www.transfermarkt.it/lucas-hernandez/profil/spieler/281963,https://www.instagram.com/lucashernandez21/,,https://twitter.com/LucasHernandez,https://en.wikipedia.org/wiki/Lucas_Hernández
José Giménez,https://www.transfermarkt.it/jose-gimenez/profil/spieler/250845,https://www.instagram.com/josemariagimenez/,https://www.facebook.com/JoseMariaGimenezOficial,https://twitter.com/salorondon23,https://en.wikipedia.org/wiki/José_Giménez
Kingsley Coman,https://www.transfermarkt.it/kingsley-coman/profil/spieler/243714,https://www.instagram.com/king_coman/,https://www.facebook.com/kingcoman11,,https://en.wikipedia.org/wiki/Kingsley_Coman
Milan Skriniar,https://www.transfermarkt.it/milan-skriniar/profil/spieler/204069,https://www.instagram.com/milanskriniar/,https://www.facebook.com/MilanSkriniarOficial/,https://twitter.com/ComuneMI,https://en.wikipedia.org/wiki/Milan_Škriniar
Kepa,https://www.transfermarkt.it/kepa/profil/spieler/192279,https://www.instagram.com/kepaarrizabalaga/,https://www.facebook.com/KepaArrizabalagaOficial/,https://twitter.com/kepa_46,https://en.wikipedia.org/wiki/Kepa_Arrizabalaga
Fred,https://www.transfermarkt.it/fred/profil/spieler/191614,https://www.instagram.com/fred08oficial/,https://www.facebook.com/fred08oficial/,https://twitter.com/FredFigglehorn,"https://en.wikipedia.org/wiki/Fred_(footballer,_born_1993)"
Florian Thauvin,https://www.transfermarkt.it/florian-thauvin/profil/spieler/184892,https://www.instagram.com/flotov/,https://www.facebook.com/FlorianThauvin/,https://twitter.com/FlorianThauvin,https://en.wikipedia.org/wiki/Florian_Thauvin
Adrien Rabiot,https://www.transfermarkt.it/adrien-rabiot/profil/spieler/182913,https://www.instagram.com/adrienrabiot_25/,,https://twitter.com/Adriien_Rabiiot,https://en.wikipedia.org/wiki/Adrien_Rabiot
Aymeric Laporte,https://www.transfermarkt.it/aymeric-laporte/profil/spieler/176553,https://www.instagram.com/a.laporte/,https://www.facebook.com/laporteaymeric,https://twitter.com/Laporte,https://en.wikipedia.org/wiki/Aymeric_Laporte
Niklas Süle,https://www.transfermarkt.it/niklas-sule/profil/spieler/166601,https://www.instagram.com/nsuele25/,,,https://en.wikipedia.org/wiki/Niklas_Süle
Rodrigo,https://www.transfermarkt.it/rodrigo/profil/spieler/131505,https://www.instagram.com/rodrigom_91/,,,https://en.wikipedia.org/wiki/Rodrigo_Moreno
Ciro Immobile,https://www.transfermarkt.it/ciro-immobile/profil/spieler/105521,https://www.instagram.com/ciroimmobile17/,https://www.facebook.com/CiroImmobilePaginaUfficiale/,https://twitter.com/ciroimmobile,https://en.wikipedia.org/wiki/Ciro_Immobile
Kyle Walker,https://www.transfermarkt.it/kyle-walker/profil/spieler/95424,https://www.instagram.com/kylewalker2/,https://www.facebook.com/kyle.walker2,https://twitter.com/kylewalker2,https://en.wikipedia.org/wiki/Kyle_Walker
Heung-min Son,https://www.transfermarkt.it/heung-min-son/profil/spieler/91845,https://www.instagram.com/hm_son7/,https://www.facebook.com/HeungMinSonOfficial,,https://en.wikipedia.org/wiki/Son_Heung-min
David Alaba,https://www.transfermarkt.it/david-alaba/profil/spieler/59016,https://www.instagram.com/da_27/,https://www.facebook.com/david.alaba.10888/,https://twitter.com/David_Alaba,https://en.wikipedia.org/wiki/David_Alaba
Thomas Müller,https://www.transfermarkt.it/thomas-muller/profil/spieler/58358,https://www.instagram.com/esmuellert/,https://www.facebook.com/es.muellert/,https://twitter.com/esmuellert_,https://en.wikipedia.org/wiki/Thomas_Müller
Willian,https://www.transfermarkt.it/willian/profil/spieler/52769,https://www.instagram.com/willianborges88/,https://www.facebook.com/willianborges88,https://twitter.com/Betao03,"https://en.wikipedia.org/wiki/Willian_(footballer,_born_1988)"
Jadon Sancho,https://www.transfermarkt.it/jadon-sancho/profil/spieler/401173,https://www.instagram.com/sanchooo10/,,https://twitter.com/Sanchooo10,https://en.wikipedia.org/wiki/Jadon_Sancho
