nome,squadra
Kylian Mbappé,FC Paris Saint-Germain
Neymar,FC Paris Saint-Germain
Lionel Messi,FC Barcellona
Mohamed Salah,FC Liverpool
Harry Kane,Tottenham Hotspur
Antoine Griezmann,Atlético de Madrid
Kevin De Bruyne,Manchester City
Philippe Coutinho,FC Barcellona
Eden Hazard,Chelsea FC
Paulo Dybala,Juventus FC
Dele Alli,Tottenham Hotspur
Romelu Lukaku,Manchester United
Cristiano Ronaldo,Juventus FC
Mauro Icardi,FC Internazionale
Marco Asensio,Real Madrid CF
Sergej Milinkovic-Savic,SS Lazio
Leroy Sané,Manchester City
Saúl Níguez,Atlético de Madrid
Raheem Sterling,Manchester City
Paul Pogba,Manchester United
Isco,Real Madrid CF
Gareth Bale,Real Madrid CF
Gabriel Jesus,Manchester City
Ousmane Dembélé,FC Barcellona
N'Golo Kanté,Chelsea FC
Raphaël Varane,Real Madrid CF
Roberto Firmino,FC Liverpool
Jan Oblak,Atlético de Madrid
James Rodríguez,FC Bayern Monaco
Marc-André ter Stegen,FC Barcellona
Christian Eriksen,Tottenham Hotspur
Sergio Busquets,FC Barcellona
Robert Lewandowski,FC Bayern Monaco
Toni Kroos,Real Madrid CF
Sergio Agüero,Manchester City
Pierre-Emerick Aubameyang,FC Arsenal
Thomas Lemar,Atlético de Madrid
Sadio Mané,FC Liverpool
Samuel Umtiti,FC Barcellona
Marco Verratti,FC Paris Saint-Germain
Koke,Atlético de Madrid
Jordi Alba,FC Barcellona
David de Gea,Manchester United
Marcelo,Real Madrid CF
Luis Suárez,FC Barcellona
Miralem Pjanic,Juventus FC
Ivan Rakitic,FC Barcellona
Casemiro,Real Madrid CF
Naby Keïta,FC Liverpool
Marcus Rashford,Manchester United
Nabil Fekir,Olympique Lione
Lorenzo Insigne,SSC Napoli
Thibaut Courtois,Real Madrid CF
Alexandre Lacazette,FC Arsenal
Bernardo Silva,Manchester City
Ederson,Manchester City
Anthony Martial,Manchester United
Riyad Mahrez,Manchester City
Timo Werner,RasenBallsport Lipsia
Virgil van Dijk,FC Liverpool
Daniel Carvajal,Real Madrid CF
Álvaro Morata,Chelsea FC
Alisson,FC Liverpool
Jorginho,Chelsea FC
Kalidou Koulibaly,SSC Napoli
Thiago Alcantara,FC Bayern Monaco
Edinson Cavani,FC Paris Saint-Germain
Diego Costa,Atlético de Madrid
Kai Havertz,Bayer 04 Leverkusen
John Stones,Manchester City
Marquinhos,FC Paris Saint-Germain
Joshua Kimmich,FC Bayern Monaco
Sergi Roberto,FC Barcellona
Douglas Costa,Juventus FC
Alexis Sánchez,Manchester United
Mats Hummels,FC Bayern Monaco
Gonzalo Higuaín,AC Milan
Arthur,FC Barcellona
Federico Chiesa,ACF Fiorentina
Matthijs de Ligt,AFC Ajax Amsterdam
Lucas Hernández,Atlético de Madrid
José Giménez,Atlético de Madrid
Kingsley Coman,FC Bayern Monaco
Milan Skriniar,FC Internazionale
Kepa,Chelsea FC
Fred,Manchester United
Florian Thauvin,Olympique Marsiglia
Adrien Rabiot,FC Paris Saint-Germain
Aymeric Laporte,Manchester City
Niklas Süle,FC Bayern Monaco
Rodrigo Moreno,Valencia CF
Ciro Immobile,SS Lazio
Kyle Walker,Manchester City
Heung-min Son,Tottenham Hotspur
David Alaba,FC Bayern Monaco
Thomas Müller,FC Bayern Monaco
Willian,Chelsea FC
Jadon Sancho,Borussia Dortmund
Leon Bailey,Bayer 04 Leverkusen
Richarlison,FC Everton
Malcom,FC Barcellona
Christian Pulisic,Borussia Dortmund
Fabinho,FC Liverpool
Federico Bernardeschi,Juventus FC
Corentin Tolisso,FC Bayern Monaco
Julian Brandt,Bayer 04 Leverkusen
Harry Maguire,Leicester City
Memphis Depay,Olympique Lione
Benjamin Mendy,Manchester City
Marcos Alonso,Chelsea FC
Alex Sandro,Juventus FC
Aaron Ramsey,FC Arsenal
Ángel Di María,FC Paris Saint-Germain
Ivan Perisic,FC Internazionale
Mesut Özil,FC Arsenal
Gerard Piqué,FC Barcellona
Rodri,Atlético de Madrid
Benjamin Pavard,VfB Stoccarda
Davinson Sánchez,Tottenham Hotspur
Frenkie de Jong,AFC Ajax Amsterdam
Lucas Torreira,FC Arsenal
Hirving Lozano,PSV Eindhoven
Gianluigi Donnarumma,AC Milan
Rúben Neves,Wolverhampton Wanderers
Gonçalo Guedes,Valencia CF
Alessio Romagnoli,AC Milan
Andreas Christensen,Chelsea FC
Jonathan Tah,Bayer 04 Leverkusen
Héctor Bellerín,FC Arsenal
Clément Lenglet,FC Barcellona
João Cancelo,Juventus FC
Piotr Zielinski,SSC Napoli
Michy Batshuayi,Valencia CF
Eric Dier,Tottenham Hotspur
Marcelo Brozovic,FC Internazionale
Leon Goretzka,FC Bayern Monaco
Alex Oxlade-Chamberlain,FC Liverpool
Jesse Lingard,Manchester United
Allan,SSC Napoli
Suso,AC Milan
Granit Xhaka,FC Arsenal
Stefan de Vrij,FC Internazionale
Stefan Savic,Atlético de Madrid
Konstantinos Manolas,AS Roma
Antonio Rüdiger,Chelsea FC
Nemanja Matic,Manchester United
César Azpilicueta,Chelsea FC
Ilkay Gündogan,Manchester City
Georginio Wijnaldum,FC Liverpool
Javi Martínez,FC Bayern Monaco
Toby Alderweireld,Tottenham Hotspur
Radja Nainggolan,FC Internazionale
Marco Reus,Borussia Dortmund
Jérôme Boateng,FC Bayern Monaco
Sergio Ramos,Real Madrid CF
Karim Benzema,Real Madrid CF
Paulinho,Guangzhou Evergrande Taobao
Tanguy Ndombélé,Olympique Lione
Houssem Aouar,Olympique Lione
Ryan Sessegnon,FC Fulham
Vinícius Júnior,Real Madrid CF
Mikel Oyarzabal,Real Sociedad
Trent Alexander-Arnold,FC Liverpool
Franck Kessié,AC Milan
Wilfred Ndidi,Leicester City
Andrew Robertson,FC Liverpool
Thomas,Atlético de Madrid
José Gayà,Valencia CF
Tiemoué Bakayoko,AC Milan
Andrea Belotti,Torino FC
Felipe Anderson,West Ham United
Jordan Pickford,FC Everton
Luis Alberto,SS Lazio
Kieran Trippier,Tottenham Hotspur
Pablo Sarabia,FC Siviglia
Nacho Fernández,Real Madrid CF
Henrikh Mkhitaryan,FC Arsenal
Nicolás Otamendi,Manchester City
Andrej Kramaric,TSG 1899 Hoffenheim
Leonardo Bonucci,Juventus FC
Manuel Akanji,Borussia Dortmund
Iñigo Martínez,Athletic Bilbao
Lucas Moura,Tottenham Hotspur
Jan Vertonghen,Tottenham Hotspur
Maximiliano Gómez,Celta de Vigo
Carlos Soler,Valencia CF
Giovani Lo Celso,Real Betis Balompié
Dayot Upamecano,RasenBallsport Lipsia
Yerry Mina,FC Everton
Eric Bailly,Manchester United
Presnel Kimpembe,FC Paris Saint-Germain
Álvaro Odriozola,Real Madrid CF
Ángel Correa,Atlético de Madrid
Aleksandr Golovin,AS Monaco
Gelson Martins,Atlético de Madrid
Nicolò Barella,Cagliari Calcio
Iñaki Williams,Athletic Bilbao
Keita Baldé,FC Internazionale
Nélson Semedo,FC Barcellona
Thilo Kehrer,FC Paris Saint-Germain
Hakim Ziyech,AFC Ajax Amsterdam
André Silva,FC Siviglia
Ante Rebic,Eintracht Francoforte
Jean Michaël Seri,FC Fulham
Serge Gnabry,FC Bayern Monaco
Wissam Ben Yedder,FC Siviglia
Wilfried Zaha,Crystal Palace
Alessandro Florenzi,AS Roma
Geoffrey Kondogbia,Valencia CF
Paco Alcácer,Borussia Dortmund
Willian José,Real Sociedad
Emre Can,Juventus FC
Ander Herrera,Manchester United
Gylfi Sigurdsson,FC Everton
Julian Draxler,FC Paris Saint-Germain
Victor Wanyama,Tottenham Hotspur
Stodd Nzonzi,AS Roma
Dries Mertens,SSC Napoli
Diego Godín,Atlético de Madrid
Mateo Kovacic,Chelsea FC
Danny Rose,Tottenham Hotspur
Juan Mata,Manchester United
Marek Hamsik,SSC Napoli
David Silva,Manchester City
Axel Witsel,Borussia Dortmund
Blaise Matuidi,Juventus FC
Hugo Lloris,Tottenham Hotspur
Manuel Neuer,FC Bayern Monaco
James Maddison,Leicester City
Lorenzo Pellegrini,AS Roma
Rúben Dias,Benfica Lisbona
Joe Gomez,FC Liverpool
Rony Lopes,AS Monaco
Alassane Plea,Borussia Mönchengladbach
Rafinha,FC Barcellona
Juan Cuadrado,Juventus FC
Oscar Dos Santos,Shanghai SIPG
Kevin Strootman,Olympique Marsiglia
Jordan Henderson,FC Liverpool
Cengiz Ünder,AS Roma
Hakan Calhanoglu,AC Milan
Bruno Fernandes,Sporting CP
Yacine Brahimi,FC Porto
David Neres,AFC Ajax Amsterdam
Paulinho,Bayer 04 Leverkusen
Santiago Ascacíbar,VfB Stoccarda
Nikola Milenkovic,ACF Fiorentina
Lautaro Martínez,FC Internazionale
Amine Harit,FC Schalke 04
Pablo Fornals,Villarreal CF
André Zambo Anguissa,FC Fulham
Lucas Tousart,Olympique Lione
Fabián Ruiz,SSC Napoli
Nicolas Pépé,LOSC Lilla
Moussa Marega,FC Porto
Giovanni Simeone,ACF Fiorentina
Jean-Kévin Augustin,RasenBallsport Lipsia
Jefferson Lerma,AFC Bournemouth
Talisca,Guangzhou Evergrande Taobao
Alex Telles,FC Porto
Abdou Diallo,Borussia Dortmund
Wendell,Bayer 04 Leverkusen
Lucas Vázquez,Real Madrid CF
Elseid Hysaj,SSC Napoli
Bryan Cristante,AS Roma
Mattia Caldara,AC Milan
Julian Weigl,Borussia Dortmund
Alejandro Grimaldo,Benfica Lisbona
Ben Davies,Tottenham Hotspur
Stanislav Lobotka,Celta de Vigo
Victor Lindelöf,Manchester United
Jean-Philippe Gbamin,1.FSV Magonza 05
Nathan Aké,AFC Bournemouth
Matteo Politano,FC Internazionale
Matías Vecino,FC Internazionale
Ross Barkley,Chelsea FC
Simone Verdi,SSC Napoli
Dennis Praet,UC Sampdoria
Faouzi Ghoulam,SSC Napoli
Matthias Ginter,Borussia Mönchengladbach
Emil Forsberg,RasenBallsport Lipsia
Marcel Sabitzer,RasenBallsport Lipsia
Thorgan Hazard,Borussia Mönchengladbach
Thomas Meunier,FC Paris Saint-Germain
Shkodran Mustafi,FC Arsenal
Sime Vrsaljko,FC Internazionale
Iago Aspas,Celta de Vigo
Vitolo,Atlético de Madrid
Pedro Rodriguez,Chelsea FC
Asier Illarramendi,Real Sociedad
Aleksandar Mitrovic,FC Fulham
David Luiz,Chelsea FC
Marko Arnautovic,West Ham United
Arturo Vidal,FC Barcellona
Sami Khedira,Juventus FC
Edin Dzeko,AS Roma
Luka Modric,Real Madrid CF
Cesc Fàbregas,Chelsea FC
Danilo Pereira,FC Porto
José Callejón,SSC Napoli
