nome,nome_chiave,eta,ruolo,ruolo_dettaglio,squadra,nazione_squadra,nazione_giocatore,instagram_followers,facebook_followers,twitter_followers,insta_likes_avg,google_hits,google_hits_1,wiki_visual,insta_hashtag,GER_kicker,GER_bild_G,GER_eurosport_G,ITA_corriere,ITA_sky_G,ITA_gazzetta_G,ENG_thesun,ENG_sky_G,ENG_guardian_G,SPA_marca,SPA_as_G,SPA_mundodep_G,FRA_francefootball_G,FRA_lequipe_G,FRA_eurosport_G,FRA_le10sport_G,INT_eurosport_G,INT_espn_G,INT_bein_G,pres_2018_tot,goal_2018_tot,assist_2018_tot,pres_2018_CL,goal_2018_CL,assist_2018_CL,pres_2017_tot,goal_2017_tot,assist_2017_tot,pres_2017_CL,goal_2017_CL,assist_2017_CL,pres_tot,goal_tot,assist_tot,pres_tot_CL,goal_tot_CL,assist_tot_CL,whoscored1819,valore
Kai Havertz,Kai Havertz,19,Centrocampista,Trequartista,Bayer 04 Leverkusen,Germania,Germania,110004,16778,,21058.2,463000,1050000,113608,2623,239,435,338,3,39,42,23,50,27,15,207,68,573,35,19,9,81,47,41,23,9,6,0,0,0,35,4,9,0,0,0,151,45,25,3,0,0,7.04,55000000
John Stones,John Stones,24,Difensore,Difensore centrale,Manchester City,Inghilterra,Inghilterra,713225,,27945,52937.1,256000000,383000000,706979,13395,124,528,106,55,40,52,2169,3650,7960,42,758,341,108,145,129,8,1880,1350,698,22,0,0,6,0,0,29,3,0,5,3,0,227,7,1,18,4,0,6.97,55000000
Marquinhos,Marquinhos,24,Difensore,Difensore centrale,FC Paris Saint-Germain,Francia,Brasile,2771656,756345,311661,79586.3,8650000,8790000,250896,66481,184,175,123,200,202,1060,214,161,168,471,1520,1020,1270,1980,3240,9600,804,1800,2210,21,2,1,5,1,0,41,2,3,8,0,1,259,17,7,42,4,2,7.23,55000000
Joshua Kimmich,Kimmich,23,Difensore,Terzino destro,FC Bayern Monaco,Germania,Germania,2090474,537236,,138377.5,4570000,7420000,433044,56642,954,2260,2650,120,168,177,176,181,296,119,1750,447,362,405,465,90,900,289,783,26,1,10,6,0,2,47,6,17,11,4,3,263,28,47,34,7,5,7.37,55000000
Sergi Roberto,Sergi Roberto,26,Difensore,Terzino destro,FC Barcellona,Spagna,Spagna,6141541,,2327733,282920.4,11400000,345000000,316079,136995,193,77,119,160,112,178,203,262,219,1330,6950,5230,160,257,385,400,1770,918,1950,14,0,4,3,0,0,48,1,8,8,0,0,291,14,30,36,3,0,7.01,55000000
Douglas Costa,Douglas Costa,28,Attaccante,Ala destra,Juventus FC,Italia,Brasile,5028159,866128,397910,192367.4,95600000,102000000,635320,67340,527,802,767,762,729,8350,254,392,694,279,2460,825,267,323,330,488,1800,512,1210,16,0,2,4,0,0,47,6,14,10,0,1,372,60,89,68,10,15,6.57,55000000
Alexis Sánchez,Alexis Sanchez,29,Attaccante,Ala sinistra,Manchester United,Inghilterra,Cile,9649632,5005045,2811335,457390.8,22000000,86700000,2341556,189361,438,823,602,298,272,605,4078,5990,1970,1454,19800,3100,470,3900,926,2710,4080,1430,3050,12,1,2,2,0,0,40,11,9,2,0,0,480,156,110,50,12,14,6.77,55000000
Mats Hummels,Hummels,29,Difensore,Difensore centrale,FC Bayern Monaco,Germania,Germania,2589705,4077597,2144844,72780.1,14700000,8800000,418622,110474,2618,11200,5800,197,132,445,309,374,623,431,1320,722,466,744,499,1180,9480,320,1760,15,1,1,4,1,0,41,3,4,9,1,1,484,45,24,49,4,2,7.03,55000000
Gonzalo Higuaín,Higuain,31,Attaccante,Punta centrale,AC Milan,Italia,Argentina,3060533,309052,6831531,240408.9,3360000,32000000,1503809,372535,759,749,381,5189,12100,43300,660,3060,812,4557,9000,6530,594,1020,21700,2960,28400,3260,4770,18,7,3,0,0,0,50,23,8,10,5,1,565,289,97,75,23,10,6.87,55000000
Arthur,Arthur,22,Centrocampista,Centrale,FC Barcellona,Spagna,Brasile,2298970,304839,10378,250567.2,666000000,688000000,895463,1405935,998,1880,468,181,147,639,2643,1260,12300,309,5010,3820,586,2500,684,2040,2850,9420,1620,18,0,1,5,0,0,10,1,2,0,0,0,68,2,4,5,0,0,6.44,50000000
Federico Chiesa,Federico Chiesa,21,Attaccante,Ala destra,ACF Fiorentina,Italia,Italia,234894,23734,2312,39444.5,22300000,18600000,213355,2220,34,8,8,284,1140,2060,30,90,50,8,264,65,60,34,38,37,1030,158,188,17,3,5,0,0,0,38,6,9,0,0,0,129,24,21,0,0,0,7.12,50000000
Matthijs de Ligt,De Ligt,19,Difensore,Difensore centrale,AFC Ajax Amsterdam,Olanda,Olanda,322653,,,78713.1,7150000,93400000,340755,5882,39,207,223,52,3020,755,102,108,116,41,2580,3720,160,189,248,10500,804,1950,947,29,3,1,5,0,0,39,3,3,0,0,0,149,17,5,5,0,0,7.33,50000000
Lucas Hernández,Lucas Hernández,22,Difensore,Terzino sinistro,Atlético de Madrid,Spagna,Francia,1233571,,235133,133587.9,28800000,60500000,942317,10015,133,394,106,96,108,382,153,549,359,294,6810,1910,741,1170,354,3500,2090,2370,1520,17,0,0,5,0,0,44,0,3,3,0,1,140,2,5,16,0,1,7.01,50000000
José Giménez,Gimenez,23,Difensore,Difensore centrale,Atlético de Madrid,Spagna,Uruguay,888046,310836,360437,36323.2,19600000,45200000,237058,13290,301,84,96,120,163,301,109,228,270,2224,13400,3500,153,351,226,164,1670,2700,629,11,1,0,3,1,0,38,2,2,4,0,0,162,7,7,25,1,0,7.06,50000000
Kingsley Coman,Coman,22,Attaccante,Ala sinistra,FC Bayern Monaco,Germania,Francia,641334,419287,,74336.5,4990000,18900000,376982,33574,594,1180,1490,315,284,1120,159,236,348,650,947,424,897,7590,860,953,995,252,1410,9,2,1,1,1,0,33,7,8,6,2,3,134,19,24,19,5,9,7.07,50000000
Milan Skriniar,Skriniar,23,Difensore,Difensore centrale,FC Internazionale,Italia,Slovacchia,485047,38500,336651,74516.9,1990000,7280000,222307,20165,55,18,6,531,1540,4250,66,87,90,34,420,197,138,72,54,59,792,135,348,21,0,0,6,0,0,40,4,0,0,0,0,201,17,2,6,0,0,6.97,50000000
Kepa,Kepa,24,Portiere,Portiere,Chelsea FC,Inghilterra,Spagna,532178,3008,130197,108973.8,14400000,10200000,953477,23868,79,57,52,53,352,112,217,779,112,1061,3550,2640,72,121,94,133,654,313,435,24,0,0,0,0,0,31,0,0,0,0,0,188,0,0,0,0,0,6.66,50000000
Fred,Fred,25,Centrocampista,Centrale,Manchester United,Inghilterra,Brasile,815873,57001,131508,52596.4,639000000,662000000,1217304,1038742,838,1150,209,133,403,691,1665,48800,12800,454,3460,1180,497,1780,533,255,1540,4690,766,13,1,0,3,0,0,37,4,7,8,1,1,201,23,22,27,1,1,6.67,50000000
Florian Thauvin,Thauvin,25,Attaccante,Ala destra,Olympique Marsiglia,Francia,Francia,953042,165356,784751,79404.1,2590000,5530000,430414,24965,60,49,32,145,69,147,79,344,193,71,621,258,8200,12000,22300,13400,520,149,2770,19,13,5,0,0,0,54,26,18,0,0,0,285,84,53,6,1,1,7.31,50000000
Adrien Rabiot,Rabiot,23,Centrocampista,Centrale,FC Paris Saint-Germain,Francia,Francia,1270036,,69014,31954,12300000,14500000,449093,29195,103,361,119,198,242,7780,196,685,192,174,4810,27400,6430,7840,6230,24200,3070,5710,5590,20,2,2,5,0,0,50,5,7,8,1,2,240,25,20,36,4,3,7.31,50000000
Aymeric Laporte,Laporte,24,Difensore,Difensore centrale,Manchester City,Inghilterra,Francia,354064,155277,132565,30838.8,1800000,20800000,675243,53253,227,193,81,112,79,129,242,3390,416,1731,1900,2720,6890,14300,1670,2370,1030,1950,3020,25,3,0,6,2,0,43,1,3,3,0,0,268,13,7,14,2,0,6.93,50000000
Niklas Süle,Niklas Süle,23,Difensore,Difensore centrale,FC Bayern Monaco,Germania,Germania,420143,,,44134.7,514000,3310000,266506,813,626,928,603,5,38,68,57,93,42,12,418,44,110,40,63,5,252,115,85,22,1,0,4,0,0,42,2,2,9,0,0,231,15,7,13,0,0,6.96,50000000
Rodrigo Moreno,Rodrigo Moreno,27,Attaccante,Punta centrale,Valencia CF,Spagna,Spagna,282083,,,24242.8,290000000,59700000,442157,1543,66,31,11,18,34,24,18,69,118,531,1770,910,26,55,38,812,540,146,185,21,2,4,6,0,1,44,19,7,0,0,0,299,87,42,24,2,1,7.35,50000000
Ciro Immobile,Immobile,28,Attaccante,Punta centrale,SS Lazio,Italia,Italia,627939,857389,346969,60052,5320000,95000000,517767,83297,383,728,286,2509,3220,11100,198,231,1030,327,1840,558,193,401,319,87,2090,289,790,21,11,6,0,0,0,47,41,11,0,0,0,349,189,43,10,4,1,7.2,50000000
Kyle Walker,Kyle Walker,28,Difensore,Terzino destro,Manchester City,Inghilterra,Inghilterra,1232887,1066955,1364170,68661.4,94300000,96600000,800755,16578,207,162,77,38,118,290,1541,1160,1060,73,1020,245,83,196,238,9,1650,1840,856,23,1,0,6,0,0,48,0,7,7,0,1,383,7,38,16,0,1,7.05,50000000
Heung-min Son,Son Heung Min,26,Attaccante,Ala sinistra,Tottenham Hotspur,Inghilterra,Corea del Sud,1699462,823019,,342598.3,7860000,10500000,1193939,43023,538,774,222,27,38,2440,589,1020,528,8,643,274,65,116,131,3,893,779,574,22,8,5,6,0,1,53,18,11,7,4,0,360,120,45,35,8,4,6.97,50000000
David Alaba,Alaba,26,Difensore,Terzino sinistro,FC Bayern Monaco,Germania,Austria,4539795,3550134,1753329,87938.9,8190000,17200000,382372,92444,1323,2870,1470,158,93,445,147,203,497,1145,5980,1440,393,483,638,290,1450,1050,1020,24,1,3,5,0,2,36,2,6,7,0,3,435,42,54,72,5,15,6.76,50000000
Thomas Müller,Thomas Müller,29,Attaccante,Seconda punta,FC Bayern Monaco,Germania,Germania,6363301,9342075,4129026,101850.2,167000000,326000000,1241818,33621,7699,18900,3180,66,126,332,384,802,1090,459,2110,928,557,889,1280,222,1550,232,607,25,5,6,6,0,1,45,15,18,10,3,2,553,223,158,105,42,20,7.02,50000000
Willian,Willian,30,Attaccante,Ala destra,Chelsea FC,Inghilterra,Brasile,8054627,6223180,52033,81977.2,30200000,30700000,761429,206056,285,249,246,258,428,590,1211,74800,1420,899,3320,3450,356,729,1140,325,2960,1430,1580,27,4,6,0,0,0,55,13,12,8,3,3,518,88,116,64,17,15,7.18,50000000
Jadon Sancho,Jadon Sancho,18,Attaccante,Ala sinistra,Borussia Dortmund,Germania,Inghilterra,758122,,92267,173910.3,5200000,4940000,1164904,4092,144,308,153,4,22,10,365,1320,240,25,568,75,46,40,115,267,534,248,493,24,7,10,5,1,1,21,5,7,0,0,0,80,32,25,5,1,1,7.31,45000000
Leon Bailey,Leon Bailey,21,Attaccante,Ala sinistra,Bayer 04 Leverkusen,Germania,Giamaica,299464,37952,19071,22918.7,43500000,52100000,522766,2843,233,389,183,18,53,12,110,194,235,14,263,146,29,38,25,7,187,306,349,23,1,5,0,0,0,34,12,6,0,0,0,144,28,33,2,0,0,6.7,45000000
Richarlison,Richarlison,21,Attaccante,Ala sinistra,FC Everton,Inghilterra,Brasile,1203403,47898,111914,201611.4,3360000,2750000,672912,10676,21,28,9,22,53,54,338,3420,260,18,296,125,74,112,166,119,707,1330,693,17,8,2,0,0,0,41,5,5,0,0,0,126,33,18,0,0,0,7.1,45000000
Malcom,Malcom,21,Attaccante,Ala destra,FC Barcellona,Spagna,Brasile,2107548,,,167952.6,20800000,19400000,839295,78693,62,152,95,180,1970,160,252,298,1070,121,4550,1470,576,1110,516,687,1480,2170,1810,9,2,0,2,1,0,38,12,8,0,0,0,159,32,21,2,1,0,6.14,45000000
Christian Pulisic,Pulisic,20,Attaccante,Ala destra,Borussia Dortmund,Germania,Stati Uniti,1302366,200656,186610,105144.2,5090000,6880000,1197314,20054,420,915,1090,49,54,74,231,373,266,72,2600,287,167,4650,113,674,1750,7070,2980,18,3,4,5,1,0,42,5,7,5,0,0,140,29,37,20,2,3,6.69,45000000
Fabinho,Fabinho,25,Centrocampista,Mediano,FC Liverpool,Inghilterra,Brasile,695456,60568,6161,73856,7640000,7090000,974928,66202,92,110,71,152,112,158,420,764,255,188,1140,370,4680,4960,833,20300,1160,1660,1790,14,0,2,4,0,0,46,8,5,5,0,0,278,33,25,29,2,3,7,45000000
Federico Bernardeschi,Bernardeschi,24,Attaccante,Ala destra,Juventus FC,Italia,Italia,1628506,205281,117716,116760.6,1470000,3020000,263395,40778,117,71,72,1594,2980,4500,91,115,128,75,724,182,192,162,119,143,1480,134,464,14,2,1,4,0,0,31,5,7,5,1,1,215,65,28,9,1,1,6.7,45000000
Corentin Tolisso,Tolisso,24,Centrocampista,Centrale,FC Bayern Monaco,Germania,Francia,1101251,346478,199995,135288.4,2510000,2830000,514918,25384,269,509,526,241,101,206,101,133,142,76,816,199,1390,1440,837,1190,674,192,1440,3,1,0,0,0,0,40,10,7,8,3,2,203,40,24,20,5,4,6.73,45000000
Julian Brandt,Julian Brandt,22,Attaccante,Ala sinistra,Bayer 04 Leverkusen,Germania,Germania,380602,55622,17803,43788.1,14600000,14100000,305841,7207,698,936,678,11,70,19,78,122,129,28,275,111,46,155,63,16,278,109,194,23,3,6,0,0,0,39,12,7,0,0,0,263,71,66,21,1,0,6.85,45000000
Harry Maguire,Maguire,25,Difensore,Difensore centrale,Leicester City,Inghilterra,Inghilterra,476227,24860,218835,60385.4,23300000,31900000,1749119,14760,61,118,368,44,73,68,1307,2410,2030,247,497,382,63,125,126,51,2040,640,528,14,2,0,0,0,0,44,2,3,0,0,0,315,20,19,0,0,0,7.3,45000000
Memphis Depay,Depay,24,Attaccante,Punta centrale,Olympique Lione,Francia,Olanda,5490175,2914957,1301666,267743.4,6420000,5900000,749536,75788,124,312,140,167,137,285,427,2390,765,173,931,492,1270,1430,984,1390,1690,3060,2650,24,6,11,6,1,4,51,22,17,0,0,0,287,100,75,12,2,4,7.37,45000000
Benjamin Mendy,Benjamin Mendy,24,Difensore,Terzino sinistro,Manchester City,Inghilterra,Francia,2575142,171014,1085956,107213.2,6890000,8810000,613748,9427,87,71,69,27,39,55,748,540,321,27,536,235,772,995,20000,990,600,358,989,11,0,5,1,0,0,9,0,1,1,0,0,224,4,35,11,0,4,7.31,45000000
Marcos Alonso,Marcos Alonso,27,Difensore,Terzino sinistro,Chelsea FC,Inghilterra,Spagna,1258524,439238,349789,77930.2,43000000,46200000,149486,22172,114,46,74,179,114,357,764,1640,429,2107,4770,865,127,249,140,128,1320,415,587,20,1,5,0,0,0,46,8,4,7,0,1,263,25,23,7,0,1,7.18,45000000
Alex Sandro,Alex Sandro,27,Difensore,Terzino sinistro,Juventus FC,Italia,Brasile,1465140,,,90102.4,50300000,210000000,303784,30324,262,178,250,1311,5070,2360,391,385,408,234,1120,744,508,1140,649,2710,1490,511,1880,21,0,2,6,0,0,39,4,6,10,0,1,330,13,37,53,0,6,7.28,45000000
Aaron Ramsey,Ramsey,27,Centrocampista,Centrale,FC Arsenal,Inghilterra,Galles,3113611,4623868,3084654,87672.3,21600000,107000000,589761,271352,316,444,211,132,5990,268,1891,14900,3240,284,1320,986,1320,3960,2800,8240,12000,6700,2230,21,2,6,0,0,0,32,11,12,0,0,0,386,64,66,43,8,4,6.71,45000000
Ángel Di María,Di Maria,30,Attaccante,Ala destra,FC Paris Saint-Germain,Francia,Argentina,7987037,3395743,146886,145454.8,39100000,2600000000,798463,326890,491,929,515,540,1270,5890,571,743,2120,3465,3000,3990,2320,3750,2250,4840,4130,937,3610,24,7,8,6,2,1,45,21,12,5,1,1,534,118,184,72,18,20,7.38,45000000
Ivan Perisic,Perisic,29,Attaccante,Ala sinistra,FC Internazionale,Italia,Croazia,1419682,163277,4827,96473.7,5130000,7220000,900925,58181,669,1290,282,1504,758,2130,456,1570,271,223,1060,545,162,470,223,1110,1920,345,908,22,3,2,6,0,0,39,11,11,0,0,0,401,110,80,17,1,0,6.92,45000000
Mesut Özil,Özil,30,Centrocampista,Trequartista,FC Arsenal,Inghilterra,Germania,18674282,31336930,23521024,411324.2,13800000,21000000,2135737,584594,2340,5040,17300,222,2700,2700,2540,14200,3510,2596,5550,1740,5820,9880,27900,5980,8900,1240,1980,15,4,2,0,0,0,35,5,14,0,0,0,557,102,212,69,11,26,6.92,45000000
Gerard Piqué,Piqué,31,Difensore,Difensore centrale,FC Barcellona,Spagna,Spagna,16874872,18842284,18934201,524972.1,13300000,63500000,2154373,819426,516,898,498,183,722,1170,722,798,1440,5711,67600,37100,2200,4050,4780,2580,8500,4260,4230,23,5,1,5,1,0,49,4,0,9,1,0,520,48,11,103,12,2,7.16,45000000
Rodrigo Hernández,Rodrigo Hernandez,22,Centrocampista,Mediano,Atlético de Madrid,Spagna,Spagna,,,,,10800000,34600000,189760,813,34,9,8,12,8,51,9,54,67,31,3100,841,32,77,40,462,499,500,116,23,2,0,6,0,0,47,1,4,0,0,0,149,6,6,6,0,0,7.35,40000000
Benjamin Pavard,Pavard,22,Difensore,Difensore centrale,VfB Stoccarda,Germania,Francia,1563446,74718,158564,193630.5,3990000,3930000,1147253,17728,279,525,837,40,3650,442,77,119,95,37,561,298,6580,6940,3720,4140,278,1190,3590,14,0,0,0,0,0,36,1,0,0,0,0,96,2,2,0,0,0,6.67,40000000
Davinson Sánchez,Davinson Sanchez,22,Difensore,Difensore centrale,Tottenham Hotspur,Inghilterra,Colombia,499909,35243,122381,34491,1380000,36500000,137316,2947,49,9,21,20,26,9,226,429,228,38,2910,286,39,61,54,37,356,326,210,15,0,1,4,0,0,43,1,0,8,0,0,137,8,3,12,0,0,6.81,40000000
Frenkie de Jong,Frenkie de Jong,21,Centrocampista,Centrale,AFC Ajax Amsterdam,Olanda,Olanda,326815,,,68773.1,3170000,2830000,323739,2509,20,77,27,20,6,5,74,97,59,15,3240,196,40,61,82,6570,493,542,178,27,4,1,5,0,0,26,1,9,0,0,0,141,21,23,5,0,0,7.35,40000000
Lucas Torreira,Lucas Torreira,22,Centrocampista,Mediano,FC Arsenal,Inghilterra,Uruguay,854653,,178221,137804.3,5140000,3810000,895163,3912,31,20,10,62,144,219,287,358,2820,22,313,77,36,32,37,10,567,360,195,24,2,3,0,0,0,38,4,1,0,0,0,163,15,8,0,0,0,6.98,40000000
Hirving Lozano,Lozano,23,Attaccante,Ala destra,PSV Eindhoven,Olanda,Messico,1185965,,279409,192438.8,2600000,63500000,910952,32631,97,80,45,67,44,1300,90,216,177,1435,20100,2480,61,264,142,30,630,9480,517,27,15,8,6,2,1,34,19,11,0,0,0,201,75,47,6,2,1,7.72,40000000
Gianluigi Donnarumma,Donnarumma,19,Portiere,Portiere,AC Milan,Italia,Italia,1623181,654673,133368,63781.1,3280000,9380000,489432,58456,122,129,290,2089,1390,2930,288,206,161,166,1830,400,186,266,241,1500,2200,1180,1700,17,0,0,0,0,0,53,0,1,0,0,0,152,0,1,0,0,0,6.63,40000000
Rúben Neves,Neves,21,Centrocampista,Mediano,Wolverhampton Wanderers,Inghilterra,Portogallo,296225,216019,34507,24982.2,2820000,82800000,633831,26816,88,76,6,64,54,293,273,10700,361,211,484,263,54,77,77,7,402,257,167,17,2,1,0,0,0,42,6,1,0,0,0,152,12,5,16,0,2,6.95,40000000
Gonçalo Guedes,Guedes,22,Attaccante,Ala sinistra,Valencia CF,Spagna,Portogallo,409975,131770,20485,32234.3,7770000,33100000,381209,17236,63,61,39,91,124,60,94,563,104,390,4750,1210,198,447,181,1300,642,164,825,14,0,1,4,0,0,40,6,11,0,0,0,181,32,46,17,3,1,6.75,40000000
Alessio Romagnoli,Romagnoli,23,Difensore,Difensore centrale,AC Milan,Italia,Italia,665416,127851,,81549.9,6620000,21900000,159342,38686,101,9,5,2733,788,5570,87,86,112,93,618,182,87,168,110,10,1500,181,1480,17,2,0,0,0,0,42,3,1,0,0,0,188,13,4,0,0,0,6.77,40000000
Andreas Christensen,Christensen,22,Difensore,Difensore centrale,Chelsea FC,Inghilterra,Danimarca,588666,,,35742,14900000,69600000,294291,19900,628,621,298,70,527,228,443,873,1720,270,1540,223,82,213,90,36,987,2510,405,10,0,0,0,0,0,40,0,0,6,0,0,200,11,8,15,0,0,6.38,40000000
Jonathan Tah,Jonathan Tah,22,Difensore,Difensore centrale,Bayer 04 Leverkusen,Germania,Germania,160063,36356,3354,5527.2,1570000,1660000,97786,1310,583,471,334,6,8,42,19,106,60,8,308,44,8,107,14,14,86,18,60,19,1,0,0,0,0,33,0,2,0,0,0,232,6,8,11,0,0,6.72,40000000
Héctor Bellerín,Hector Bellerin,23,Difensore,Terzino destro,FC Arsenal,Inghilterra,Spagna,2802981,658951,1578701,161652.5,655000,2610000,489059,19412,96,75,81,32,21,60,906,690,195,123,941,215,145,148,266,313,823,471,533,17,0,4,0,0,0,47,3,5,0,0,0,222,12,29,15,0,1,6.66,40000000
Clément Lenglet,Lenglet,23,Difensore,Difensore centrale,FC Barcellona,Spagna,Francia,583942,56316,70830,109347.8,618000,18000000,481121,16728,64,52,64,75,46,78,52,114,49,254,3500,1130,189,611,264,316,731,429,952,20,1,0,6,0,0,54,4,1,9,1,0,176,7,3,16,1,0,6.63,40000000
João Cancelo,Cancelo,24,Difensore,Terzino destro,Juventus FC,Italia,Portogallo,1097016,105824,,171117.2,974000,41000000,373954,21400,71,40,34,480,6020,701,55,120,143,478,1630,1040,151,171,93,95,870,318,453,15,0,4,3,0,1,29,1,4,0,0,0,187,7,35,9,1,2,7.49,40000000
Piotr Zielinski,Zielinski,24,Centrocampista,Centrale,SSC Napoli,Italia,Polonia,419696,224446,,33504,1370000,41100000,155607,14974,117,76,47,974,409,1470,55,146,195,43,3500,183,115,114,79,135,863,467,313,23,3,0,6,0,0,47,7,3,5,2,0,229,31,21,18,2,0,6.85,40000000
Michy Batshuayi,Batshuayi,25,Attaccante,Punta centrale,Valencia CF,Spagna,Belgio,2467809,849116,1783418,82214.8,3910000,3400000,1018478,57122,190,261,338,250,144,178,1002,3210,460,241,3710,537,961,1550,6640,13700,2630,964,3480,21,3,0,5,1,0,40,21,3,4,2,0,288,112,29,9,3,0,6.25,40000000
Eric Dier,Eric Dier,24,Centrocampista,Mediano,Tottenham Hotspur,Inghilterra,Inghilterra,780615,102623,283393,34933.9,9230000,9060000,628804,7943,104,147,68,19,22,77,960,964,595,37,996,152,70,87,97,5,1260,378,503,17,2,0,4,0,0,46,0,3,7,0,1,260,13,14,16,0,1,6.86,40000000
Marcelo Brozovic,Brozovic,26,Centrocampista,Centrale,FC Internazionale,Italia,Croazia,743595,54093,,57963,1770000,2970000,286645,26148,194,117,75,1211,732,11400,82,120,346,78,716,194,122,142,93,30,1370,105,511,21,2,1,6,0,0,33,4,9,0,0,0,284,39,38,12,0,0,7.25,40000000
Leon Goretzka,Leon Goretzka,23,Centrocampista,Centrale,FC Bayern Monaco,Germania,Germania,644003,179444,,74519.7,1720000,2020000,453082,16642,866,1050,864,30,21,25,120,151,132,35,573,109,46,92,83,218,338,182,318,22,2,3,5,0,0,29,4,5,0,0,0,251,53,33,10,0,0,6.82,40000000
Alex Oxlade-Chamberlain,Alex Oxlade-Chamberlain,25,Centrocampista,Centrocampista di destra,FC Liverpool,Inghilterra,Inghilterra,3331577,2552107,2808282,149718.8,3500000,3610000,776324,52618,156,83,111,17,57,98,1161,926,832,6,467,223,204,224,174,100,1800,482,643,0,0,0,0,0,0,46,5,8,7,2,0,287,35,49,36,6,5,5.93,40000000
Jesse Lingard,Jesse Lingard,25,Attaccante,Ala destra,Manchester United,Inghilterra,Inghilterra,5318790,936757,1143444,377023.4,7890000,7420000,1770819,73232,116,91,118,10,57,21,1744,2070,870,36,600,179,82,103,149,25,1020,448,700,18,4,2,3,0,0,48,13,7,6,0,0,258,57,45,13,0,1,6.48,40000000
Allan,Allan,27,Centrocampista,Centrale,SSC Napoli,Italia,Brasile,369009,,,48387.7,267000000,215000000,123932,113473,595,320,186,1262,1180,10400,701,2700,5890,1105,1030,424,266,731,454,930,2340,1380,526,22,0,2,6,0,0,50,4,5,6,0,0,333,11,36,20,0,0,7.26,40000000
Suso,Suso,25,Attaccante,Ala destra,AC Milan,Italia,Spagna,929055,,126775,77331.7,25800000,25900000,332173,66203,72,40,6,1027,927,10700,81,197,163,985,20700,22700,96,1420,102,71,1360,282,1250,21,5,8,0,0,0,50,8,14,0,0,0,233,40,58,0,0,0,7.61,40000000
Granit Xhaka,Xhaka,26,Centrocampista,Mediano,FC Arsenal,Inghilterra,Svizzera,1801757,1262318,,112283.8,4830000,4630000,743258,119211,702,1600,441,106,117,217,1002,3480,617,114,1060,303,481,339,331,57,1360,1230,1480,19,2,1,0,0,0,48,3,8,0,0,0,357,32,27,22,1,1,7.05,40000000
Stefan de Vrij,De Vrij,26,Difensore,Difensore centrale,FC Internazionale,Italia,Olanda,350206,236771,177626,43183.5,4610000,69800000,244662,12742,91,148,5,1256,542,1100,78,147,201,66,337,292,55,132,145,99,825,82,229,17,1,1,5,0,1,47,7,1,0,0,0,290,17,10,5,0,1,6.91,40000000
Stefan Savic,Savic,27,Difensore,Difensore centrale,Atlético de Madrid,Spagna,Montenegro,272756,,,12078.2,2400000,18400000,141971,7898,298,329,142,963,1980,16800,227,298,227,532,5720,2200,243,296,277,1640,2200,526,770,14,0,2,1,0,0,37,0,0,3,0,0,307,8,7,27,0,0,6.78,40000000
